Date,FCX US Equity,GMEXICOB MM Equity,3993 HK Equity,NEM US Equity,ABX CN Equity,2899 HK Equity,FRES LN Equity,FNV CN Equity,ANTO LN Equity,G CN Equity,NCM AU Equity,AEM CN Equity,FM CN Equity,WPM CN Equity,600547 CH Equity,PE&OLES* MM Equity,PLZL RM Equity,358 HK Equity,RRS LN Equity,TRQ CN Equity,RGLD US Equity,600489 CH Equity,LUN CN Equity,K CN Equity,BUENAVC1 PE Equity,POLY LN Equity,EVN AU Equity,ANG SJ Equity,KL CN Equity,GFI SJ Equity,NST AU Equity,VED LN Equity,YRI CN Equity,BTO CN Equity,VOLCABC1 PE Equity,1818 HK Equity,IMG CN Equity,CEY LN Equity,IGO AU Equity,000587 CH Equity,601069 CH Equity,AGI CN Equity,SGL SJ Equity,OZL AU Equity,DGC CN Equity,HBM CN Equity,002102 CH Equity,002155 CH Equity,KOZAL TI Equity,EDV CN Equity,RRL AU Equity,CG CN Equity,MNG MC Equity,002237 CH Equity,002716 CH Equity,THO CN Equity,SBM AU Equity,OGC CN Equity,CDE US Equity,MINSURI1 PE Equity,HOC LN Equity,HL US Equity,ANTM IJ Equity,OR CN Equity,NG CN Equity,600988 CH Equity,MFRISCOA MM Equity,NGD CN Equity,IMP SJ Equity,PVG CN Equity,SSRM CN Equity,860 HK Equity,SAR AU Equity,246 HK Equity,SFR AU Equity,2303 HK Equity,SMF CN Equity,HAR SJ Equity,TXG CN Equity,SSL CN Equity,ACA LN Equity,ELD CN Equity,RSG AU Equity,GUY CN Equity,HGM LN Equity,SOLG LN Equity,SEA CN Equity,NVO CN Equity,TMR CN Equity,GOR AU Equity,ZIM AU Equity,PSAB IJ Equity,PX PM Equity,PDL CN Equity,ASR CN Equity,600311 CH Equity,SVM CN Equity,ATYM LN Equity,DCN AU Equity,NCZ AU Equity,GSV CN Equity,WGX AU Equity,PG CN Equity,PODERC1 PE Equity,TGZ CN Equity,MLX AU Equity,CS CN Equity,EDR CN Equity,PRU AU Equity,000409 CH Equity,ROXG CN Equity,AR CN Equity,AVZ AU Equity,POG LN Equity,ASO CN Equity,AT PM Equity,TKO CN Equity,AGB CN Equity,GSC CN Equity,EUR FP Equity,GDRZF US Equity,AMI AU Equity,3788 HK Equity,TBR AU Equity,LMI LN Equity,BGM CN Equity,BRIO CN Equity,PAF LN Equity,APX PM Equity,RMS AU Equity,AKG CN Equity,PNR AU Equity,KOR CN Equity,WDO CN Equity,NGQ CN Equity,SLR AU Equity,661 HK Equity,HRT CN Equity,LC PM Equity,GCY AU Equity,3330 HK Equity,HUM LN Equity,WAF AU Equity,ML CN Equity,NUAG CN Equity,CDV AU Equity,VIT CN Equity,DR0 GR Equity,MAX CN Equity,3939 HK Equity,RIOZ ZH Equity,MYA CN Equity,AOT CN Equity,LUM CN Equity,RND AU Equity,ITH CN Equity,CGP CN Equity,LNZL RM Equity,BSX CN Equity,NUS CN Equity,CTGO US Equity,PGM CN Equity,CGH LN Equity,513 HK Equity,MTL LN Equity,TLG AU Equity,TNG AU Equity,ALK AU Equity,CLA AU Equity,DRD SJ Equity,MGG CN Equity,GBU CN Equity,NHK CN Equity,KNT CN Equity,YOJ AU Equity,OKU AU Equity,WILR SP Equity,RUP CN Equity,ARV AU Equity,EGS AU Equity,621 HK Equity,DRM AU Equity,BRZL RM Equity,BTR CN Equity,RZZ CN Equity,BGS AU Equity,JAG CN Equity,MML AU Equity,ALO CN Equity,HZM LN Equity,CNMC SP Equity,PEX AU Equity,MRZ CN Equity,TBP CN Equity,R CN Equity,NM CN Equity,BDR AU Equity,EUR AU Equity,VGZ CN Equity,BBX AU Equity
1998-04-30,3337.4622,2231.0776,,5037.1183,8428.3117,,,,1037.2895,393.6448,441.8586,291.6699,41.7235,,,1666.7442,,235.6437,121.2652,97.6541,109.3625,,9.4247,581.2403,957.137,,,5294.2006,,,,,28.8651,,,,237.0652,,,154.8241,,,,8.9798,,2.0406,,,,,177.4142,,,,,,27.836,,255.8511,474.1716,,351.2243,235.5175,,7.3346,,,,808.9983,,51.4343,,7.4962,,,,41.4086,207.6946,3.1988,,,61.3487,,,,,0.8875,,,,,,55.8284,19.0814,,,,,,,,11.0839,,,,,,,,286.4161,,,,,,6.4849,36.3591,,109.4099,61.5114,63.9313,,,,1140.2768,2.0454,,,4.0926,,,32.4091,,79.8184,15.0446,,168.6682,,211.1597,,,,,,,,1.6612,,,,,,4.0039,,0.4214,,,,,,,,,11.7726,,,5.5835,15.935,3.0691,,,8.3466,,,,,,,,,42.4422,,,,,,,,,,,,,,,,,,20.8884,
1998-05-29,2939.4337,2257.9977,,3903.0178,7244.1789,,,,940.0443,353.3757,303.072,257.5216,32.3491,,,1383.0642,,207.3401,113.8408,83.6081,90.8214,,8.8618,481.5677,995.6962,,,4958.5737,,,,,24.593,,,,208.438,,,168.6695,,,,6.2442,,1.4696,,,,,162.9573,,,,,,17.5854,,195.7223,445.7045,,275.475,146.5201,,5.7625,,,2.4776,664.0429,,47.8783,,7.1983,,,,34.082,145.9465,1.2851,,,49.1333,,,,,6.5368,,,,,,58.9765,20.9368,,,,,,,,8.1873,,,,,,,,396.163,,,,,,5.3265,28.5658,,89.1811,61.2573,44.5124,,,,772.7692,1.6873,,,4.2138,,,35.5364,,76.2689,13.1332,,135.924,,214.8822,,,,,,,,1.6314,,,,,,5.3831,,1.079,,,,,,,,,11.1825,,,8.3922,13.2884,1.7683,,,7.2134,,,,,,,,,27.2586,,,,,,,,,,,,,,,,,,17.7583,
1998-06-30,2679.449,1891.2028,,3697.5958,7167.756,,,,802.0476,321.1826,297.3568,221.1342,32.0649,,,1281.6687,,160.2128,106.4164,75.5614,84.485,,10.5408,421.9329,892.7471,,,4007.7484,,,,,15.0728,,,,164.8463,,,147.5535,,,,4.7149,,1.5892,,,,,163.9463,,,,,,13.9425,,147.8183,463.4168,,292.6922,123.4885,,4.9979,,,1.6373,527.9229,,39.1136,,5.5033,,,,26.8009,144.0015,1.1323,,,42.2413,,,,,4.1756,,,,,,46.1966,15.4026,,,,,,,,7.0998,,,,,,,,347.5483,,,,,,4.2533,24.3056,,61.9801,53.5768,44.5124,,,,739.862,0.7168,,,2.8483,,,28.9218,,68.2491,9.0076,,118.3012,,171.5217,,,,,,,,1.1195,,,,,,8.125,,0.802,,,,,,,,,7.3567,,,6.9309,12.6906,1.7038,,,9.1462,,,,,,,,,19.2045,,,,,,,,,,,,,,,,,,15.1745,
1998-07-31,2634.2881,1661.435,,2954.1639,6143.1406,,,,782.4403,287.8953,270.7631,161.7965,30.4339,,,1313.2189,,127.2311,94.0424,56.8797,63.3637,,9.4824,319.6641,812.1202,,,4222.2323,,,,,11.958,,,,134.5324,,,138.504,,,,4.1579,,1.2866,,,,,165.4378,,,,,,10.2461,,160.1364,431.4665,,265.1447,235.9745,,9.9809,,,1.5907,701.2422,,21.2806,,9.986,,,,20.7871,147.1357,0.9626,,,28.4865,,,,,2.7978,,,,,,38.1022,15.3583,,,,,,,,8.7456,,,,,,,,329.362,,,,,,4.8542,24.5588,,49.3584,50.7656,30.8715,,,,712.2688,1.2903,,,2.0572,,,26.143,,62.2274,6.5636,,117.0457,,153.4469,,,,,,,,1.0883,,,,,,4.7128,,0.7911,,,,,,,,,5.5912,,,6.2253,12.5131,2.2895,,,9.7747,,,,,,,,,13.3196,,,,,,,,,,,,,,,,,,11.7943,
1998-08-31,2068.5071,1168.7594,,2142.2579,4878.6024,,,,605.6528,175.3621,196.7537,111.2157,12.28,,,969.7518,,89.518,56.9204,43.4048,59.1395,,6.3981,504.1962,540.5789,,,3405.7479,,,,,11.3518,,,,115.7966,,,141.3166,,,,3.3713,,0.6201,,,,,158.0326,,,,,,9.6477,,88.9647,294.7308,,192.8675,165.5743,,8.5106,,,1.1308,588.703,,9.2854,,5.8297,,,,15.8187,117.7465,0.7953,,,12.1199,,,,,2.1575,,,,,,19.0724,11.3877,,,2.219,,,,,7.4861,,,,,,,,278.9644,,,,,,3.4015,13.6572,,29.9267,40.8499,20.2756,,,,586.582,0.9046,,,1.4899,,,15.7543,,58.9985,6.3267,,111.9927,,109.3762,,,,,,,,0.6994,,,,,,2.6163,,0.7399,,,,,,,,,4.8842,,,5.3288,10.6777,1.527,,,7.5376,,,,,,,,,17.0661,,,,,,,,,,,,,,,,,,11.6529,
1998-09-30,2129.22,1658.4887,,3795.4158,7563.8556,,,,548.6243,353.0109,312.7201,173.4181,19.6317,,,1228.8291,,116.2209,43.5565,44.6079,74.0513,,7.1391,884.7297,849.8365,,,5212.5034,,1292.5029,,,13.4613,,,,236.093,,,139.139,,,,3.8281,,0.8922,,,,,165.9458,,,,,,9.7994,,160.1364,284.2018,,278.9691,136.1219,,9.8874,,,0.7879,764.9098,,15.5896,,6.0355,,,,18.8583,164.6103,0.6811,,,27.307,,,,,2.0787,,,,,,32.4383,14.8554,,,2.7873,,,,,8.1379,,,,,,,,306.3949,,,,,,3.3271,15.7907,,38.2965,41.3347,40.5512,,,,823.9151,2.3241,,,1.6139,,,16.7589,,76.8028,5.2017,,128.647,,113.6111,,,,,,,,0.5391,,,,,,2.3381,,0.881,,,,,,,,,4.8255,,,4.8549,11.0545,1.023,,,4.9296,,,,,,,,,15.2116,,,,,,,,,,,,,,,,,,16.3573,
1998-10-30,2180.9275,1640.1571,,3325.8799,8004.1537,,,,614.3716,342.2792,398.4396,275.197,15.2778,,,1225.4664,,146.1464,47.0212,34.8807,76.167,,8.0014,748.8336,823.2438,,,5090.723,,1485.192,,,21.3479,,,,206.7492,,,149.1924,,,,3.6287,,0.7574,,,,,175.3564,,,,,,10.507,,123.1819,294.1817,,247.9725,211.7882,,6.0879,,,0.7804,680.3814,,23.3953,,5.5548,,,,13.9551,176.8689,1.0794,,,23.725,,,,,2.0589,,,,,,31.4179,13.3197,,,1.5059,,,,,8.5994,,,,,,,,277.4116,,,,,,4.3415,14.2183,,50.1162,38.1888,28.9652,,,,857.5566,1.3812,,,2.8461,,,18.097,,79.0728,5.3667,,140.8367,,159.3008,,,,,,,,0.7119,,,,,,2.8948,,0.8095,,,,,,,,,5.1522,,,4.4306,12.8898,1.847,,,7.847,,,,,,,,,14.8492,,,,,,,,,,,,,,,,,,15.044,
1998-11-30,2318.0687,1580.2901,,3323.4181,7485.6397,,,,553.1542,374.5696,343.0837,249.8189,14.1959,,,1252.8032,,149.3221,51.9708,43.5006,71.9355,,8.2345,747.415,849.6442,,,4876.5365,,1350.4886,,,18.4033,,,,198.3765,,,147.7867,,,,4.1099,,0.5079,,,,,187.9452,,,,,,9.9944,,110.8637,390.466,,230.7522,267.2064,,5.3065,,,0.412,854.0717,,16.6548,,4.7379,,,,14.7931,175.2306,1.4927,,,20.9979,,,,,2.4848,,,,,,28.6369,10.6703,,,1.5145,,,,,7.7903,,,,,,,,254.6421,,,,,,3.6921,31.5685,,32.6241,27.801,24.6253,,,,786.4865,1.8521,,,3.1873,,,35.2303,,80.5337,7.5565,,154.5,,159.2522,,,,,,,,0.8353,,,,,,2.4456,,0.8105,,,,,,,,,6.4784,,,3.7358,13.108,2.3117,,,6.1383,,,,,,,,,15.9664,,,,,,,,,,,,,,,,,,14.5485,
1998-12-31,1823.3894,1706.209,,3051.6921,7289.0971,,,,560.8452,385.0239,335.3901,225.6885,9.0951,,,1223.4064,,138.2625,49.496,35.4286,61.3568,,7.4606,670.7781,828.298,,,3890.6521,,982.7654,,,15.464,,,,190.5595,,,129.6747,,,,3.6651,,0.6327,,,,,195.645,,,,,,9.5047,,101.2829,365.52,,199.7556,248.4472,,4.4749,,,0.4889,846.5924,,12.1452,,4.6276,,,,12.8201,175.2231,1.3524,,,19.0245,,,,,2.8892,,,,,,23.0502,8.5384,,,1.2578,,,,,5.4063,,,,,,,,217.7652,,,,,,3.7366,44.5708,,30.5432,18.467,27.5224,,,,861.6803,1.4998,,,2.2896,,,29.116,,80.2613,6.3891,,131.725,,147.7404,,,,,,,,0.7136,,,,,,2.6694,,0.7917,,,,,,,,,6.8878,,,4.561,12.2118,1.6934,,,6.6418,,,,,,,,,13.5473,,,,,,,,,,,,,,,,,,13.3393,
1999-01-29,1740.251,1742.7304,,2957.6331,7181.4631,,,,523.865,392.2483,385.2357,247.9063,9.6966,1.5372,,1234.2798,,95.8098,42.0716,31.7852,65.5883,,7.5925,646.9849,828.5213,,,4033.5785,,1107.0692,,,12.6426,,,,184.2315,,,132.3059,,,,3.2859,,0.6439,,,,,198.4367,,,,,,8.9694,,109.495,352.4552,,203.1997,205.1282,,6.074,,,0.4179,976.6395,,18.0591,,6.1986,,,,10.2199,156.6396,2.4773,,,25.653,,,,,0.392,,,,,,20.9894,11.6911,,,2.4321,,,,,5.1408,,,,,,,,257.1295,,,,,,3.8,45.4654,,23.4627,19.2714,30.4195,,,,878.8373,2.4655,,,2.3284,,,26.6387,,77.596,6.8503,,92.3291,,151.0982,,,,,,,,0.9682,,,,,,3.5434,,0.4065,,,,,,,,,6.8856,,,2.5762,12.5409,3.4781,,,8.0044,,,,,,,,,8.5339,,,,,,,,,,,,,,,,,,11.8044,
