Date,XOM US Equity,RDSA LN Equity,CVX US Equity,857 HK Equity,FP FP Equity,BP/ LN Equity,386 HK Equity,BLT LN Equity,BHP AU Equity,RIL IN Equity,STL NO Equity,COP US Equity,883 HK Equity,ENI IM Equity,EOG US Equity,SU CN Equity,OXY US Equity,ROSN RM Equity,GAZP RM Equity,LKOH RM Equity,PTT TB Equity,CNQ CN Equity,267 HK Equity,NVTK RM Equity,ONGC IN Equity,APC US Equity,PXD US Equity,8001 JP Equity,MAERSKB DC Equity,REP SM Equity,TATN RM Equity,IMO CN Equity,CLR US Equity,CXO US Equity,SIBN RM Equity,5020 JP Equity,WPL AU Equity,OMV AV Equity,1605 JP Equity,SSE LN Equity,DVN US Equity,HES US Equity,VEDL IN Equity,SNGS RM Equity,PTTEP TB Equity,NBL US Equity,GALP PL Equity,APA US Equity,MRO US Equity,TECK/B CN Equity,HSE CN Equity,4188 JP Equity,8002 JP Equity,FANG US Equity,EQT US Equity,ECA CN Equity,CVE CN Equity,AKERBP NO Equity,COG US Equity,TRGP US Equity,ANDX US Equity,PGN PW Equity,MOL HB Equity,XEC US Equity,LUPE SS Equity,PE US Equity,OSH AU Equity,5019 JP Equity,RSPP US Equity,IPL CN Equity,WPX US Equity,EGN US Equity,135 HK Equity,ALFAA MM Equity,AR US Equity,OGDC PA Equity,BANE RM Equity,NFX US Equity,INARA CZ Equity,SNP RO Equity,MUR US Equity,CDEV US Equity,VII CN Equity,TOU CN Equity,BBU-U CN Equity,CPG CN Equity,TLW LN Equity,VET CN Equity,PTEN US Equity,RDGZ KZ Equity,NFG US Equity,PGAS IJ Equity,ARX CN Equity,OINL IN Equity,SNG RO Equity,PDCE US Equity,WLL US Equity,PPL PA Equity,000959 CH Equity,MTDR US Equity,CNX US Equity,DEDRL IT Equity,RRC US Equity,VNOM US Equity,BANPU TB Equity,OAS US Equity,JAG US Equity,WCP CN Equity,5021 JP Equity,LTS PW Equity,QEP US Equity,CPE US Equity,ERF CN Equity,VED LN Equity,CHK US Equity,KOS US Equity,SRCI US Equity,PXT CN Equity,WRD US Equity,SWN US Equity,LPI US Equity,SM US Equity,RNFT RM Equity,XOG US Equity,467 HK Equity,TELL US Equity,600803 CH Equity,DLEN IT Equity,002911 CH Equity,DNO NO Equity,DLEKG IT Equity,CNE LN Equity,DANA UH Equity,POU CN Equity,MEDC IJ Equity,GNE NZ Equity,GPOR US Equity,CRZO US Equity,FEC CN Equity,MEG CN Equity,1662 JP Equity,MARI PA Equity,TUSK US Equity,PEY CN Equity,601015 CH Equity,POL PA Equity,600759 CH Equity,NHC AU Equity,HPR US Equity,DNR US Equity,002266 CH Equity,FRU CN Equity,NIIS SG Equity,UNT US Equity,GTE US Equity,RRX CN Equity,SEPL LN Equity,TOG CN Equity,PGR LN Equity,KEL CN Equity,NVA CN Equity,MAU FP Equity,HUR LN Equity,CRC US Equity,300008 CH Equity,ENOG LN Equity,JOEL IT Equity,REI US Equity,PMO LN Equity,SPE CN Equity,GPRK US Equity,BTE CN Equity,1205 HK Equity,601028 CH Equity,HK US Equity,BIR CN Equity,EC FP Equity,GENL LN Equity,GLL SP Equity,NOG LN Equity,RATIL IT Equity,WTI US Equity,600461 CH Equity,SGY US Equity,REN US Equity,CAPX AR Equity,PVAC US Equity,2686 HK Equity,000731 CH Equity,ESTE US Equity,NFTA IT Equity,FPM LN Equity,6828 HK Equity,OPCE IT Equity,SOU LN Equity,332 HK Equity,ENQ LN Equity,CNE CN Equity,MFGS RM Equity,TVE CN Equity
1998-04-30,179514.5625,,54237.2971,,29020.1237,90926.7581,,,19435.5398,4497.1346,,13043.8085,,53568.7311,3624.6209,3793.3553,10041.8968,,,,,2125.2513,6535.6052,,9739.5741,4375.421,2418.5732,3317.5116,9435.3909,16430.0003,,8138.5418,,,,,4358.3715,4004.5904,,,1288.7201,5258.4323,155.2144,,3168,2453.7262,,3300.6644,10342.149,1418.6972,,,3398.5714,,1200.1925,4004.8783,,,578.1328,,,,2989.3081,,,,1030.9051,,,,,646.17,759.6752,3270.5439,,,,872.418,,,2309.0808,,,,,,530.5199,257.9714,433.552,,1759.454,,175.4925,,,92.4289,,,,,,3.5713,290.8636,,270.4103,,,,,,,139.4263,95.4731,,380.7772,,,,,287.1385,,351.488,,,13.7343,65.5778,123.4644,,,,,901.5472,,575.4534,61.7163,,,71.3281,,,,,,,,,224.7285,,,341.5157,,142.6476,,248.5763,,,,,,,,91.0279,,,,,22.551,,776.0589,,,,28.6563,,,,769.9463,,,,,,,,,198.9111,,,204.8738,1.0331,25.1863,,,,,202.0623,,4.6507,291.9525,
1998-05-29,172498.8354,,52241.765,,30348.1456,84655.58,,,17020.8812,,,13035.1299,,56369.725,3144.3751,3891.5945,10147.4361,,,,,1819.9701,5175.6411,,,8044.2122,2336.0902,3209.2725,2027.6507,16669.9663,,8174.9836,,,,,3830.5099,3908.1494,,,1185.7033,4940.7718,,,2702.3661,2218.4765,,3370.8191,10111.3246,1199.0825,,,3018.909,,1055.6115,4019.524,,,500.7015,,,,2247.5293,,,,866.9306,,,,,590.8906,747.516,2857.1429,,,,808.8338,,,2261.8991,,,,,,545.1563,231.6313,353.7823,,1622.8778,,167.9499,,,85.3105,,,,,,,255.8981,,168.3329,,,,,,,132.4455,90.0604,,431.6899,,,,,262.3049,,299.314,,,10.5447,59.3323,128.3667,,,,,881.8498,,472.4917,39.5504,,,68.0859,,,,,,,,,281.6189,,,442.9399,,127.3549,,199.6016,,,,,,,,78.9876,,,,,,,792.8412,,,,19.3598,,,,811.6986,,,,,,,,,145.456,,,196.4519,0.4959,,,,,,198.975,,4.7101,,
1998-06-30,174639.7784,,54776.2111,,31756.2464,84124.6328,,,16831.6009,3155.0633,,12594.0917,,52098.3161,3134.7001,3745.064,9917.8561,,,,,1699.4559,3761.5094,,6041.9791,8188.9471,2398.8883,3099.0339,1821.2097,16551.3189,,7741.705,,,,,3333.0803,3618.0085,,,1129.1451,4963.6193,75.7818,,2359.0963,2158.134,,3105.837,9912.7093,1061.3124,,,2999.334,,1129.6895,3752.8799,,,494.52,,,,2647.4532,,,,708.2381,,,,,585.4363,620.9045,2491.65,,,,899.2063,,,2278.758,,,,,,427.0206,217.6451,309.3125,,1668.3566,,161.2452,,,75.1314,,,,,,5.3866,220.2834,,51.0838,,,,,,,114.8864,91.7152,,400.408,,,,,228.1587,,264.989,,,9.3183,56.9902,124.7139,,,,,775.0494,,514.2579,26.52,,,57.0625,,,,,,,,,229.7173,,,348.0242,,142.4668,,154.8908,,,,,,,,88.7522,,,,,22.8713,,737.1236,,,,19.3593,,,,706.9037,,,,,,,,,134.5468,,,190.2998,0.4959,21.6142,,,,,195.9088,,3.1125,83.4573,
1998-07-31,171887.1375,,54040.4112,,27896.8754,76491.6812,,,16135.9887,2989.9287,,11565.0024,,51836.4956,2457.45,3717.2491,8173.0481,,,,,1559.3896,3432.1227,,5682.2806,8364.1525,1978.1409,3141.1836,1813.0585,16320.3177,,7238.3747,,,,,3221.3416,3455.8618,,3826.4847,1042.2878,4632.3306,83.3788,2779.2555,2595.3488,1810.2769,,2612.847,9858.5415,903.7272,,,3096.4487,,912.0854,3662.786,,,423.4327,,,,3015.5577,,,,739.4719,,,,,499.9844,464.1833,2414.7982,,,,717.0143,,,1992.1571,,,,,,501.6382,173.5822,219.3846,,1582.1861,,149.8845,,,74.6467,,,,,,,163.5637,,85.2893,,,,,,,102.8459,78.889,,256.5114,,,,,223.5024,,216.934,,,10.0542,49.964,118.603,,,,,707.6506,,499.6309,40.1788,,,36.3125,,,,,,,,,218.3773,,,273.0907,,139.2907,,127.745,,,,,,,,85.1198,,,,,,,648.8986,,,,18.9726,,,,701.6514,,,,,,,,,169.8199,,,189.2321,0.5786,,,,,,196.9342,,2.3367,48.3181,
1998-08-31,159563.2569,,48468.2015,,23764.6802,72782.3981,,,13720.2507,2366.7868,,10575.417,,41924.4925,2012.9459,3077.7477,6531.1289,,,,,1173.0467,2717.7852,,6007.1118,3452.0125,1475.2859,2445.6499,1345.7443,13551.9491,,6139.8992,,,,,3014.1148,2791.1411,,3638.6581,854.46,4468.3069,70.9146,1610.0692,2108.2635,1317.3387,,2255.5664,7546.8904,573.8515,,,2468.1686,,810.5344,2816.4594,,,317.1307,,,,1925.9319,,,,567.7371,,,,,456.1875,331.5039,1356.1025,,,,567.7306,,,1587.6853,,,,,,376.6443,106.7562,129.6743,,1578.7476,,114.2744,,,53.8038,,,,,,5.1367,144.2206,,63.9998,,,,,,,64.312,52.6797,,157.6625,,,,,169.1789,,182.055,,,11.2839,30.4468,117.4164,,,,,313.3941,,395.6076,33.2392,,,28.5313,,,,,,,,,164.4737,,,195.4704,,85.2872,,105.336,,,,,,,,79.3474,,,,,19.8,,493.1515,,,,17.0338,,,,613.827,,,,,,,,,131.6377,,,158.6365,0.4133,20.3182,,,,,195.881,,1.0599,53.4491,
1998-09-30,172212.4931,,55012.4312,,30808.9379,88011.9452,,,14228.0794,2613.1775,,11692.8807,,49095.0666,2709.7349,3552.577,7590.2309,,,,,1629.1363,3733.6676,,5831.3813,4720.2519,1412.5078,1773.2113,1419.5403,12702.8934,,6682.9517,,,,,3483.9017,2417.6261,,4393.9023,1064.54,5247.1339,69.9614,690.889,2916.1881,1815.7912,,2643.8197,10286.2665,867.9688,,,1760.2625,,942.5357,3587.2321,,,379.3132,,,,1906.8373,,,,582.231,,,,,554.724,440.0131,1530.9127,,,,814.275,,,1742.2387,,,,,,272.37,114.7308,205.1564,,1804.283,,150.1578,,,81.4327,,,,,,5.2186,150.8363,,65.2404,,,,,,,102.4972,65.9094,,119.8235,,,,,211.0856,,262.434,,,9.8376,46.8413,140.8791,,,,,376.413,,459.6042,25.4201,,,28.5313,,,,,,,,,199.0285,,,167.0688,,121.4966,,124.488,,,,,,,,70.6485,,,,,17.426,,446.7162,,,,16.957,,,,562.6005,,,,,,,,,147.2742,,,200.8542,0.4133,19.2986,,,,,199.9696,,1.6418,33.4473,
1998-10-30,174650.9001,,53335.4724,,28192.9697,84595.3264,,,16926.7509,,,11207.0269,,47680.9103,2583.9258,3500.8223,7016.5507,,,,,1742.681,5232.9189,,,4067.3712,1512.9528,2718.4491,1559.8021,15040.4198,,7027.3563,,,,,3529.1187,2529.1169,,4034.8483,1094.84,5025.424,,,3017.6967,1865.6365,,2791.7256,9488.0377,789.2793,,,2746.7681,,1030.5366,3316.1409,,,422.841,,,,2208.9332,,,,703.1413,,,,,525.528,488.5174,1590.5744,,,,879.8693,,,1857.4513,,,,,,297.4477,121.0878,191.6083,,1813.8802,,131.277,,,62.044,,,,,,,120.4044,,70.6072,,,,,,,99.4826,60.6177,,195.5015,,,,,167.6268,,230.832,,,10.0749,49.964,134.9521,,,,,395.4728,,569.0242,43.6547,,,28.5313,,,,,,,,,190.9666,,,175.4222,,98.8487,,165.997,,,,,,,,78.3914,,,,,,,444.9554,,,,19.0587,,,,526.5337,,,,,,,,,214.5476,,,214.4414,0.4133,,,,,,209.2734,,2.0327,,
1998-11-30,182342.2485,,54557.5339,,30281.2535,89744.1779,,,15764.485,2460.7549,,10702.4403,,49544.0847,2305.695,3359.256,7004.9,,,,,1517.3994,4821.9365,,6202.7709,3389.4624,1328.3787,2719.9108,1386.6336,17006.237,,7976.4295,,,,,3385.2617,2545.3555,,4551.931,1064.54,5015.2409,51.9588,1674.2448,2621.0147,1442.2303,,2248.4111,8266.8858,659.8272,,,2717.5047,,1093.191,3047.6729,,,384.7488,,,,2277.448,,,,627.7688,,,327.2977,,525.528,669.5967,1515.7579,,,,784.485,,,1793.0192,,,,,,217.2724,106.1967,148.4578,,1763.4947,,116.9896,,,53.8038,,,,,,6.4895,145.189,,137.9884,,,,,,,103.0381,50.4141,,139.0206,,,,,186.252,,206.055,,,10.3667,34.419,145.2576,,,,,320.7266,,512.4221,62.3743,,,24.6406,,,,,,,,,185.9301,,,100.5075,,95.094,,118.1133,,,,,,,,57.4158,,,,,14.9825,,374.2739,,,,19.0629,,,,636.8111,,,,,,,,,236.366,,,204.4012,0.422,16.3042,,,,,209.3193,,1.4992,36.0238,
1998-12-31,177783.6923,,54109.0244,,24522.1375,85931.4363,,,15037.1576,2632.6932,,10861.7028,,52250.7224,2651.5492,3298.1867,5837.4167,,,,,1489.5986,4586.4999,,6755.4838,3712.6262,877.2312,2703.8469,1454.6732,15903.3613,,7058.189,,,,,2979.8615,2521.0191,,4419.4899,991.82,4495.6438,59.3348,1591.8871,2252.5236,1403.0587,,2474.4742,8776.7378,704.9439,,,2522.103,,1081.586,2832.6893,,,373.845,,,,2704.5267,,,,472.7547,,,271.4286,,571.8765,536.6621,1687.0268,,,,839.8012,,,1854.8475,,,,,,171.4322,88.7167,128.6634,,1738.318,,102.436,,,47.5024,,,,,,7.7646,119.185,,115.2483,,,,,,,93.4882,50.4773,,90.6656,,,,,186.252,,200.6325,,,9.9572,33.6367,138.7668,,,,,249.9286,,526.4832,63.1703,,,14.2656,,,,,,,,,161.9764,,,115.5836,,76.3348,,106.9404,,,,,,,,60.4887,,,,,14.0895,,270.1411,,,,18.4353,,,,469.9885,,,,,,,,,208.3657,,,188.5462,0.3376,13.5637,,,,,211.7845,,1.5213,24.3621,
1999-01-29,170793.9061,,48604.3384,,24830.9118,130900.852,,,15008.1,,,9842.4228,,47404.6909,2651.5492,2966.1124,5253.675,,,,,1548.8841,3802.5466,,,3313.4512,827.1037,2857.0743,1387.7942,16266.0375,,6555.6778,,,,,3014.0495,2391.363,,3802.6809,1268.1297,4292.3233,,,2355.1331,1121.7347,,1881.8223,6628.0759,643.1967,,,2557.7269,,967.857,2791.345,,,327.1144,,,,2725.6001,,,,509.0334,,,276.2264,,500.3919,427.9855,1448.9897,,,,749.2837,,,1641.259,,,,,,199.8553,88.701,110.8485,,1627.7196,,113.5695,,,49.4413,,,,,,,106.183,,116.6796,,,,,,,88.9646,51.1317,,78.5769,,,,,173.8352,,211.4775,,,9.5489,35.2012,137.618,,,,,211.0472,,500.0702,50.6427,,,13.293,,,,,,,,,143.8582,,,139.0354,,84.1724,,94.1714,,,,,,,,59.2973,,,,,,,207.9726,,,,14.2479,,,,457.3226,,,,,,,,,141.8196,,,188.8075,0.3376,,,,,,202.0231,,1.6588,,
1999-02-26,161828.7456,,50153.8055,,25567.6375,138058.2423,,,15286.5599,,,9858.349,,46883.9986,2536.2645,3224.6995,5188.8148,,,,,1365.2536,3720.421,,,3367.0174,520.0728,2489.4835,1278.1405,15828.555,,6662.2715,,,,,3246.6389,2498.202,,3645.3288,1134.9609,4100.2983,,,2152.9128,1289.1047,,1949.0303,6027.1789,684.7688,,,2471.4261,,960.894,2710.7131,,,272.5953,,,,2419.0427,,,,414.0702,,,276.501,,413.182,470.2116,1487.8543,,,,653.7375,,,1537.2751,,,,,,187.5426,71.3484,89.0747,,1559.1082,,108.5922,,,45.5636,,,,,,,67.177,,55.205,,,,,,,75.3937,50.2303,,72.5325,,,,,138.1369,,169.4531,,,9.781,34.419,130.3477,,,,,241.2491,,459.4492,42.8515,,,12.6445,,,,,,,,,135.2988,,,108.8831,,73.373,,105.3443,,,,,,,,69.9535,,,,,,,190.396,,,,10.4543,,,,386.8743,,,,,,,,,160.0016,,,178.8914,0.3306,,,,,,202.0362,,0.9409,,
