Date,XOM US Equity,RDSA LN Equity,CVX US Equity,857 HK Equity,FP FP Equity,BP/ LN Equity,386 HK Equity,BLT LN Equity,BHP AU Equity,RIL IN Equity,STL NO Equity,COP US Equity,883 HK Equity,ENI IM Equity,EOG US Equity,SU CN Equity,OXY US Equity,ROSN RM Equity,GAZP RM Equity,LKOH RM Equity,PTT TB Equity,CNQ CN Equity,267 HK Equity,NVTK RM Equity,ONGC IN Equity,APC US Equity,PXD US Equity,8001 JP Equity,MAERSKB DC Equity,REP SM Equity,TATN RM Equity,IMO CN Equity,CLR US Equity,CXO US Equity,SIBN RM Equity,5020 JP Equity,WPL AU Equity,OMV AV Equity,1605 JP Equity,SSE LN Equity,DVN US Equity,HES US Equity,VEDL IN Equity,SNGS RM Equity,PTTEP TB Equity,NBL US Equity,GALP PL Equity,APA US Equity,MRO US Equity,TECK/B CN Equity,HSE CN Equity,4188 JP Equity,8002 JP Equity,FANG US Equity,EQT US Equity,ECA CN Equity,CVE CN Equity,AKERBP NO Equity,COG US Equity,TRGP US Equity,ANDX US Equity,PGN PW Equity,MOL HB Equity,XEC US Equity,LUPE SS Equity,PE US Equity,OSH AU Equity,5019 JP Equity,RSPP US Equity,IPL CN Equity,WPX US Equity,EGN US Equity,135 HK Equity,ALFAA MM Equity,AR US Equity,OGDC PA Equity,BANE RM Equity,NFX US Equity,INARA CZ Equity,SNP RO Equity,MUR US Equity,CDEV US Equity,VII CN Equity,TOU CN Equity,BBU-U CN Equity,CPG CN Equity,TLW LN Equity,VET CN Equity,PTEN US Equity,RDGZ KZ Equity,NFG US Equity,PGAS IJ Equity,ARX CN Equity,OINL IN Equity,SNG RO Equity,PDCE US Equity,WLL US Equity,PPL PA Equity,000959 CH Equity,MTDR US Equity,CNX US Equity,DEDRL IT Equity,RRC US Equity,VNOM US Equity,BANPU TB Equity,OAS US Equity,JAG US Equity,WCP CN Equity,5021 JP Equity,LTS PW Equity,QEP US Equity,CPE US Equity,ERF CN Equity,VED LN Equity,CHK US Equity,KOS US Equity,SRCI US Equity,PXT CN Equity,WRD US Equity,SWN US Equity,LPI US Equity,SM US Equity,RNFT RM Equity,XOG US Equity,467 HK Equity,TELL US Equity,600803 CH Equity,DLEN IT Equity,002911 CH Equity,DNO NO Equity,DLEKG IT Equity,CNE LN Equity,DANA UH Equity,POU CN Equity,MEDC IJ Equity,GNE NZ Equity,GPOR US Equity,CRZO US Equity,FEC CN Equity,MEG CN Equity,1662 JP Equity,MARI PA Equity,TUSK US Equity,PEY CN Equity,601015 CH Equity,POL PA Equity,600759 CH Equity,NHC AU Equity,HPR US Equity,DNR US Equity,002266 CH Equity,FRU CN Equity,NIIS SG Equity,UNT US Equity,GTE US Equity,RRX CN Equity,SEPL LN Equity,TOG CN Equity,PGR LN Equity,KEL CN Equity,NVA CN Equity,MAU FP Equity,HUR LN Equity,CRC US Equity,300008 CH Equity,ENOG LN Equity,JOEL IT Equity,REI US Equity,PMO LN Equity,SPE CN Equity,GPRK US Equity,BTE CN Equity,1205 HK Equity,601028 CH Equity,HK US Equity,BIR CN Equity,EC FP Equity,GENL LN Equity,GLL SP Equity,NOG LN Equity,RATIL IT Equity,WTI US Equity,600461 CH Equity,SGY US Equity,REN US Equity,CAPX AR Equity,PVAC US Equity,2686 HK Equity,000731 CH Equity,ESTE US Equity,NFTA IT Equity,FPM LN Equity,6828 HK Equity,OPCE IT Equity,SOU LN Equity,332 HK Equity,ENQ LN Equity,CNE CN Equity,MFGS RM Equity,TVE CN Equity
1998-04-30,22.1039,,20.8861,,12.36448,3.41263,,1.29008,2.20928,0.486,,11.4687,,4.72177,5.2246,3.27103,7.6684,,,8.12183,,2.1135,1.52796,,0.35015,15.8406,22.959,1.49632,640.23132,7.99327,,4.62263,,,,,3.26211,8.03865,,3.47673,16.8312,14.9766,0.11547,0.10868,0.52898,9.1453,,12.6854,6.4533,5.09516,,,1.49401,,5.6779,2.94459,,,1.7782,,,,2.62766,,,,1.73116,,,,,8.346,0.11681,0.32978,,,,12.125,,,7.1175,,,,,,1.70916,2.18057,5.8303,,11.8233,,1.13781,,,6.0625,,,,,,0.00905,8.6021,,0.05173,,,,,,,17.75,2.33064,,4.1125,,,,,1.3606,,7.4225,,,0.21734,21,0.48719,3.33733,,0.15508,,1.65716,,3.11376,0.00504,,103.248,6.875,,,,0.05434,,0.02215,,0.04237,0.61157,,,3.9817,,0.79501,,9.75,,,,,,,,1.62289,,,,,2.33762,,1.4919,5.10862,,,0.20918,,,,22.1341,,,,0.45246,,,,,1.54867,,,0.40713,0.625,0.39917,,,,,1.95365,,11.19038,2.16825,
1998-05-29,21.4488,,20.3215,,13.25785,3.19663,,1.13644,1.97015,,,11.541,,4.96866,4.5401,3.35574,7.1963,,,,,1.80562,1.24104,,,14.3094,22.299,1.4475,661.53123,8.11001,,4.67461,,,,,2.86702,7.95163,,3.24488,15.4857,14.0813,,,0.45123,8.2916,,12.2596,6.3435,4.30951,,,1.32709,,5.0257,2.95535,,,1.5392,,,,2.00392,,,,1.4558,,,,,7.6552,0.10571,0.2881,,,,11.1875,,,7.0084,,,,,,1.75632,1.95793,4.6591,,10.8916,,1.10008,,,5.5,,,,,,,7.5511,,0.0322,,,,,,,16.5,2.21868,,3.4605,,,,,1.243,,6.3306,,,0.16687,19,0.50654,,,0.13481,,1.62095,,2.55663,0.00323,,51.624,6.5625,,,,0.04552,,0.02197,,0.0384,0.76639,,,3.952,,0.71566,,7.8125,,,,,,,,1.40823,,,,,,,1.52416,3.21812,,,0.14132,,,,23.33438,,,,,,,,,1.13248,,,0.3904,0.3,,,,,,1.9238,,11.3332,,
1998-06-30,21.715,,21.3074,,13.87299,3.17658,,0.91647,1.94824,0.34096,,11.1506,,4.70837,4.5262,3.24006,7.0992,,,4.13832,,1.68605,0.90195,,0.21722,14.5884,22.899,1.39777,617.5454,8.05229,,4.42685,,,,,2.49471,7.3613,,3.14266,14.7471,14.1869,0.05637,0.05844,0.39391,8.066,,11.3208,6.2189,3.83098,,,1.31849,,5.3784,2.77251,,,1.5202,,,,2.3605,,,,1.18931,,,,,7.5846,0.08781,0.25124,,,,12.4375,,,7.0606,,,,,,1.37572,1.62536,4.0734,,11.3173,,1.0679,,,4.8438,,,,,,0.01366,6.5184,,0.00977,,,,,,,14.3125,2.27696,,3.2254,,,,,1.0812,,5.6046,,,0.14746,18.25,0.49213,3.49094,,0.14509,,1.42464,,2.78263,0.00216,,43.2201,5.5,,,,0.05127,,0.02549,,,0.62515,,,3.1051,,0.80638,,6.0625,,,,,,,,1.58231,,,,,2.37082,,1.41705,2.6695,,,0.14131,,,,23.3366,,,,0.38241,,,,,1.04754,,,0.37817,0.3,0.34255,,,,,1.89416,,7.48911,0.62132,
1998-07-31,21.3728,,21.0212,,12.18699,2.88835,,1.01934,1.86772,0.32312,,10.2394,,4.6847,3.5539,3.21401,5.8503,,,3.98472,,1.54709,0.82297,,0.20428,14.9006,18.882,1.41679,596.15169,8.04288,,4.18379,,,,,2.41107,7.03139,,3.44112,13.6127,13.2401,0.0629,0.0871,0.43336,6.7659,,9.5239,6.1849,3.24661,,,1.36118,,4.3424,2.70595,,,1.3017,,,,2.6887,,,,1.24176,,,,,6.4775,0.06565,0.24349,,,,9.9063,,,6.1726,,,,,,1.61612,1.2963,2.8891,,10.7328,,1.04872,,,4.8125,,,,,,,4.84,,0.01632,,,,,,,12.8125,1.97672,,2.0662,,,,,1.0655,,4.5882,,,0.1591,16,0.46801,,,0.14672,,1.30075,,2.70348,0.00328,,43.2201,3.5,,,,0.0538,,0.0187,,,0.59429,,,2.4365,,0.79414,,5,,,,,,,,1.51755,,,,,,,1.24745,3.04585,,,0.14664,,,,23.16321,,,,,,,,,1.32217,,,0.37605,0.35,,,,,,1.90407,,5.65837,0.35902,
1998-08-31,20.0301,,18.9856,,10.3818,2.76912,,0.77967,1.5881,0.25578,,9.444,,3.78891,2.9103,2.66108,4.8643,,,1.9134,,1.15917,0.65168,,0.21914,12.485,14.128,1.10308,452.41725,6.67859,,3.5779,,,,,2.25597,5.67893,,3.27221,11.1592,12.8319,0.0535,0.05046,0.33475,4.9155,,8.2211,4.7461,2.06767,,,1.08499,,3.905,2.08071,,,0.9716,,,,1.71718,,,,0.95338,,,,,5.9411,0.04688,0.13674,,,,7.8438,,,4.9607,,,,,,1.21343,0.79515,1.7439,,10.6841,,0.79956,,,3.4688,,,,,,0.01302,4.2545,,0.01224,,,,,,,8,1.33483,,1.2599,,,,,0.8065,,3.8584,,,0.15132,9.75,0.46333,2.98261,,0.09799,,0.57606,,2.14058,0.00271,,16.8078,2.75,,,,0.04742,,0.01222,,,0.44759,,,1.7383,,0.49027,,4.125,,,,,,,,1.4096,,,,,2.05245,,0.94804,2.41897,,,0.13165,,,,20.26391,,,,0.36784,,,,,1.02489,,,0.31525,0.25,0.32201,,,,,1.89911,,2.55037,0.63601,
1998-09-30,21.6179,,21.549,,13.45915,3.34856,,1.03953,1.64688,0.2824,,10.4419,,4.43695,3.9177,3.08255,5.7265,,,1.4929,,1.60987,0.91078,,0.21273,17.0994,13.527,0.79978,469.41103,6.26016,,3.89436,,,,,2.60759,4.91897,,4.04737,13.9029,15.112,0.05278,0.02165,0.46304,6.7754,,9.6606,6.4689,3.13579,,,0.7738,,4.5409,2.66252,,,1.1622,,,,1.70016,,,,0.97772,,,,,7.2244,0.06223,0.15437,,,,11.25,,,5.4436,,,,,,0.87749,0.85455,2.759,,12.3302,,1.05064,,,5.25,,,,,,0.01323,4.4695,,0.01248,,,,,,,12.75,1.68457,,0.9575,,,,,1.0063,,5.562,,,0.13192,15,0.55591,3.46327,,0.08815,,0.69189,,2.48685,0.00207,,8.0677,2.75,,,,0.0494,,0.00868,,,0.54163,,,1.4857,,0.70383,,4.875,,,,,,,,1.25955,,,,,1.80636,,0.85877,4.92913,,,0.13106,,,,18.5728,,,,0.3642,,,,,1.14664,,,0.39914,0.25,0.30586,,,,,1.93875,,3.93159,,
1998-10-30,21.924,,20.8922,,12.31634,3.21857,,1.1489,1.99668,,,10.008,,4.30915,3.7429,3.03764,5.2937,,,,,1.72207,1.2765,,,14.7343,14.488,1.22612,549.71067,7.41213,,4.05586,,,,,2.66765,5.14581,,3.71664,14.2986,14.4734,,,0.47915,6.9614,,10.201,5.9669,2.85558,,,1.20746,,4.9649,2.46131,,,1.2955,,,,1.96951,,,,1.18076,,,,,6.8441,0.06909,0.16038,,,,12.1563,,,5.8036,,,,,,0.95828,0.9019,2.5768,,12.3958,,0.91853,,,4,,,,,,,3.5678,,0.01351,,,,,,,12.375,1.56437,,1.5623,,,,,0.8052,,4.8922,,,0.13511,16,0.53253,,,0.08604,,0.72693,,3.07891,0.00356,,2.8813,2.75,,,,0.04555,,0.02431,,,0.51969,,,1.56,,0.57753,,6.5,,,,,,,,1.3976,,,,,,,0.85538,3.30789,,,0.1473,,,,17.38215,,,,,,,,,1.67041,,,0.42615,0.25,,,,,,2.02895,,4.8676,,
1998-11-30,23.0859,,21.6001,,13.22862,3.43705,,1.02303,1.85958,0.26593,,9.7188,,4.47753,3.3644,2.91481,5.3935,,,2.44317,,1.49783,1.17625,,0.22627,12.2605,12.745,1.22678,470.18703,8.38091,,4.63479,,,,,2.5589,5.17885,,4.19294,13.9029,14.5389,0.0392,0.05247,0.41617,5.387,,8.2869,5.2139,2.36853,,,1.19461,,5.3103,2.26204,,,1.1791,,,,2.0306,,,,1.05419,,,0.91712,,6.9047,0.0947,0.15284,,,,9.75,,,5.6492,,,,,,0.69998,0.79078,1.9521,,12.0514,,0.81856,,,3.4688,,,,,,0.01645,2.6268,,0.02306,,,,,,,12.8125,1.31599,,1.1591,,,,,0.8947,,4.4363,,,0.13902,11,0.57319,2.82324,,0.06177,,0.58954,,2.78134,0.00509,,2.8813,2.375,,,,0.04738,,0.02431,,,0.50599,,,0.8914,,0.56055,,4.625,,,,,,,,1.02363,,,,,1.55307,,0.71951,3.52335,,,0.14733,,,,21.02267,,,,0.33401,,,,,1.84028,,,0.40619,0.25,0.2584,,,,,2.02939,,3.59008,0.26754,
1998-12-31,22.5087,,21.4225,,10.7127,3.29103,,0.92827,1.72567,0.28451,,9.8634,,4.72214,3.8691,2.86863,4.553,,,1.99329,,1.47038,1.11881,,0.24644,13.4547,8.417,1.21953,509.04253,7.8374,,4.10124,,,,,2.25246,5.12933,,4.07094,12.9531,13.0695,0.04476,0.04989,0.35766,5.2407,,9.1458,5.5355,2.57847,,,1.10871,,5.2539,2.11378,,,1.1457,,,,2.41138,,,,0.79388,,,0.78429,,7.48,0.0759,0.17684,,,,10.4375,,,5.844,,,,,,0.5523,0.66062,1.6918,,11.9716,,0.72848,,,3.0625,,,,,,0.01968,2.174,,0.01926,,,,,,,11.625,1.33424,,0.7559,,,,,0.8947,,4.3196,,,0.13353,10.75,0.54758,3.04781,,0.04603,,0.4594,,2.85766,0.00516,,1.9209,1.375,,,,0.04112,,0.0278,,,0.44379,,,1.0251,,0.4552,,4.1875,,,,,,,,1.07842,,,,,1.46051,,0.51932,1.40607,,,0.14248,,,,15.51545,,,,0.33654,,,,,1.62228,,,0.37469,0.2,0.21496,,,,,2.05329,,3.61127,0.18415,
1999-01-29,21.6238,,19.2431,,10.84759,2.98352,,0.89378,1.72234,,,8.9378,,4.28418,3.8758,2.57981,4.0977,,,,,1.5289,0.92758,,,11.7933,7.936,1.28864,486.00946,8.11684,,3.90172,,,,,2.27831,4.86553,,3.50278,11.0537,12.4785,,,0.37395,4.1899,,6.9554,4.1803,2.3429,,,1.12437,,4.7015,2.08276,,,1.0025,,,,2.43017,,,,0.8548,,,0.79816,,6.545,0.06053,0.15189,,,,9.3125,,,5.171,,,,,,0.64387,0.6605,1.4576,,11.21,,0.81962,,,3.1875,,,,,,,1.9369,,0.0195,,,,,,,11.0625,1.36679,,0.6552,,,,,0.8418,,4.5531,,,0.12805,11.25,0.54305,,,0.0663,,0.38793,,2.71429,0.00413,,1.2294,1.2813,,,,0.04133,,0.03081,,0.0336,0.39415,,,1.2331,,0.50708,,3.6875,,,,,,,,1.05718,,,,,,,0.39981,2.29923,,,0.11012,,,,15.09732,,,,,,,,,1.10417,,,0.37521,0.2,,,,,,1.96814,,3.94789,,
