Date,XOM US Equity,RDSA LN Equity,CVX US Equity,857 HK Equity,FP FP Equity,BP/ LN Equity,386 HK Equity,BLT LN Equity,BHP AU Equity,RIL IN Equity,PETR4 BZ Equity,STL NO Equity,COP US Equity,883 HK Equity,ENI IM Equity,EOG US Equity,ROSN RM Equity,SU CN Equity,OXY US Equity,EPD US Equity,LKOH RM Equity,GAZP RM Equity,PSX US Equity,PTT TB Equity,ENB CN Equity,VLO US Equity,ECOPETL CB Equity,267 HK Equity,CNQ CN Equity,LYB US Equity,6505 TT Equity,MPC US Equity,NVTK RM Equity,ONGC IN Equity,APC US Equity,PXD US Equity,MAERSKB DC Equity,TSCO LN Equity,FEMSAUBD MM Equity,REP SM Equity,GMKN RM Equity,IMO CN Equity,CLR US Equity,TATN RM Equity,IOCL IN Equity,SIBN RM Equity,SOL SJ Equity,CXO US Equity,WPL AU Equity,NESTE FH Equity,COPEC CI Equity,OMV AV Equity,034730 KS Equity,SSE LN Equity,DVN US Equity,ANDV US Equity,HES US Equity,096770 KS Equity,SNGS RM Equity,ETE US Equity,PTTEP TB Equity,VEDL IN Equity,NBL US Equity,GALP PL Equity,MRO US Equity,APA US Equity,MMP US Equity,TECK/B CN Equity,HSE CN Equity,EQT US Equity,BPCL IN Equity,FANG US Equity,CVE CN Equity,ECA CN Equity,AKERBP NO Equity,010950 KS Equity,IEP US Equity,PKN PW Equity,GAIL IN Equity,STLD US Equity,HFC US Equity,COG US Equity,ANDX US Equity,ALFA SS Equity,TRGP US Equity,2688 HK Equity,PGN PW Equity,UGPA3 BZ Equity,XEC US Equity,LUPE SS Equity,PE US Equity,OSH AU Equity,KCHOL TI Equity,DCC LN Equity,ADNOCDIS UH Equity,JEC US Equity,1193 HK Equity,MRW LN Equity,RSPP US Equity,BRDT3 BZ Equity,RUI FP Equity,HPCL IN Equity,135 HK Equity,IPL CN Equity,PETD MK Equity,WPX US Equity,TUPRS TI Equity,PETROR AB Equity,SMC PM Equity,ALFAA MM Equity,EGN US Equity,OGDC PA Equity,CTX AU Equity,TOP TB Equity,AR US Equity,BANE RM Equity,NFX US Equity,VVC US Equity,AZRG IT Equity,INARA CZ Equity,MUR US Equity,VII CN Equity,TOU CN Equity,1402 TT Equity,SNP RO Equity,CDEV US Equity,CPG CN Equity,CSAN3 BZ Equity,PTEN US Equity,BBU-U CN Equity,IRPC TB Equity,NFG US Equity,TLW LN Equity,EA TB Equity,VET CN Equity,PBF US Equity,ARX CN Equity,OINL IN Equity,DK US Equity,QFLS QD Equity,SNG RO Equity,WLL US Equity,PPL PA Equity,CASY US Equity,MTDR US Equity,PDCE US Equity,SR US Equity,RRC US Equity,PGAS IJ Equity,OAS US Equity,CNX US Equity,DEDRL IT Equity,MIC US Equity,VNOM US Equity,UNIPE CP Equity,BANPU TB Equity,ELPE GA Equity,PKI CN Equity,TEP US Equity,WCP CN Equity,CVI US Equity,LTS PW Equity,JAG US Equity,QEP US Equity,MRPL IN Equity,ERF CN Equity,003410 KS Equity,CPE US Equity,VED LN Equity,KOS US Equity,CHK US Equity,SRCI US Equity,PXT CN Equity,SJI US Equity,SM US Equity,WRD US Equity,MOH GA Equity,LPI US Equity,CVRR US Equity,XOG US Equity,SWN US Equity,CZZ US Equity,RNFT RM Equity,3633 HK Equity,ALBH BI Equity,JSMR IJ Equity,SRS IM Equity,ECL CI Equity,TITK GA Equity,SUN US Equity,467 HK Equity,TELL US Equity,SPRC TB Equity,MUSA US Equity,DLEN IT Equity,ZEL NZ Equity,DNO NO Equity,ESSO TB Equity,933 HK Equity,1434 TT Equity
1993-01-31,,,,,,,,,,0.39067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02358,,,,,,,,,0.2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-28,,,,,,,,,,0.37994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02173,,,,,,,,,0.27757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,8.2256,,8.7288,,4.16534,0.86386,,,1.85243,0.33926,,,6.5081,,,4.3574,,0.83126,4.5784,,,,,,0.97429,,,0.849,0.97547,,,,,,7.7618,,167.37201,0.61223,0.51397,2.84296,,2.47957,,,,,2.20327,,0.96648,,,1.78634,,1.51545,9.8138,2.1869,12.9911,,,,,0.01827,4.5703,,2.9673,8.9203,,5.24937,,5.594,0.25188,,,2.36806,,1.87574,4.1508,,,,0.7652,1.7058,,,,,,,,,,0.36118,,,,6.8771,,0.68931,,,1.97692,0.21784,0.00436,,,,,,0.37845,0.09875,3.4076,,0.64343,,,,,,,,4.2503,,,0.17889,,,,,,,,6.5129,0.12562,,,,,,,,,,,3.522,,2.0625,6.6978,3.9182,,,,,,,,0.05519,,0.1424,,,,,,,,0.83943,61.20231,,,,1.0815,,,2.1578,3.1981,,,,,,1.6119,,,,,,,,3.01172,,0.67074,6.5,,,,,0.03496,,,0.19972
1993-04-30,8.21,,9.0438,,4.24911,0.86526,,,1.82435,0.26459,,,6.7395,,,4.2825,,0.8844,4.6044,,,,,,1.01143,,,0.89684,0.99541,,,,,,8.4722,,188.5724,0.6092,0.48365,2.95757,,2.41165,,,,,2.15623,,1.00586,,,1.86202,,1.49761,9.1279,2.5514,13.114,,,,,0.01761,4.4412,,2.8151,9.1337,,4.90811,,5.4123,,,,2.57843,,1.89171,4.019,,,,0.8262,1.7603,,,,,,,,,,0.39102,,,,6.4145,,0.70262,,,2.257,0.19696,0.00897,,,,,,0.40668,0.09041,3.4449,,0.76249,,,,,,,,4.3264,,,0.1623,,,,,,,,6.462,0.20435,,,,,,,,,,,3.326,,2.375,6.8325,4.1103,,,,,,,,0.06163,,0.15739,,,,,,,,1.05435,67.64591,,,,0.9711,,,2.0515,3.5289,,,,,,1.6266,,,,,,,,2.79136,,0.62774,6.5,,,,,0.02335,,,0.20743
1993-05-31,8.2386,,9.3495,,4.33194,0.90875,,,1.73925,0.27839,,,7.1445,,,4.6224,,0.92566,4.5263,,,,,,1.05795,,,0.86415,1.08705,,,,,,8.709,,194.79633,0.60444,0.46914,2.95977,,2.4542,,,,,2.14849,,0.9537,,,2.01304,,1.53559,9.0223,2.6035,13.2982,,,,,0.02193,4.4493,,2.8796,8.9203,,5.52481,,5.8326,,,,2.53306,,1.97492,4.0849,,,,0.8406,1.736,,,,,,,,,,0.33705,,,,6.0445,,0.72447,,,2.0847,0.26642,0.05302,,,,,,0.39177,0.08942,3.4456,,0.66386,,,,,,,,4.3682,,,0.15464,,,,,,,,6.0804,0.19149,,,,,,,,,,,3.377,,1.875,7.0827,4.1487,,,,,,,,0.05981,,0.18226,,,,,,,,1.18595,71.75648,,,,0.9491,,,2.0727,3.4824,,,,,,1.7528,,,,,,,,2.8503,,0.78687,11.5,,,,,0.01853,,,0.18983
1993-06-30,8.3172,,9.3097,,4.33629,0.87055,,,1.70111,0.27363,,,6.4792,,,4.4321,,1.0315,4.4191,,,,,,1.05828,,,0.81515,1.51372,,,,,,8.4868,,219.24157,0.55375,0.48164,2.89712,,2.44618,,,,,2.2029,,0.87778,,,2.10786,,1.45333,11.3439,2.291,12.0726,,,,0.10493,0.02296,4.9925,,2.5917,9.4986,,5.60253,,5.5584,0.24852,,,2.56758,,2.05844,4.3528,,,,0.796,1.7633,,,,,,,,,,0.3391,,,,5.4277,,0.63085,,,1.86352,0.29751,0.06398,,,,,,0.39223,0.08364,3.9163,,0.66219,,,,,,,,4.1,,,0.13607,,,,,,,,6.8726,0.23931,,,,,,,,,,,3.757,,1.625,7.3141,4.4945,,,,,,,,0.05816,,0.19461,,,,,,,,1.15954,73.95915,,,,0.9491,,,2.1357,3.4824,,,,,,1.7392,,,,,,,,2.78761,,0.7561,9.5,,,,,0.02315,,,0.17469
1993-07-30,8.2543,,9.3761,,4.60407,0.86547,,,1.854,,,,7.1155,,,4.6427,,0.87047,4.4454,,,,,,1.12015,,,0.7459,1.49002,,,,,,8.2496,,217.10908,0.53631,0.52446,2.81261,,2.28514,,,,,2.10172,,0.93856,,,2.38728,,1.52416,9.3917,2.3431,12.2882,,,,0.12437,,5.3806,,2.7069,9.6269,,5.26267,,5.4121,,,,2.38121,,,4.6206,,,,0.7708,1.6724,,,,,,,,,,0.34276,,,,5.0268,,0.6142,,,1.84839,,0.04681,,,,,,0.40662,0.07971,3.5209,,0.67225,,,,,,,,4.1766,,,,,,,,,,,7.1557,0.24059,,,,,,,,,,,3.892,,1.625,7.4507,4.8402,,,,,,,,0.0646,,0.20095,,,,,,,,1.34559,,,,,0.938,,,2.2436,3.0499,,,,,,1.9169,,,,,,,,2.80269,,0.69692,10,,,,,0.02377,,,
1993-08-31,8.3153,,9.9774,,4.9359,0.90009,,,1.97033,0.37165,,,7.5783,,,5.4732,,0.92736,4.498,,,,,,1.06832,,,0.78505,1.76884,,,,,,9.5674,,227.14286,0.61668,0.63957,3.42772,,2.52464,,,,,2.16085,,0.93001,,,2.40378,,1.66675,10.2886,3.02,13.0273,,,,0.14629,0.02654,6.3215,,3.1403,10.9105,,4.90918,,6.2965,0.28521,,,2.48775,,1.73124,4.5536,,,,0.8284,1.8573,,,,,,,,,,0.3727,,,,6.0445,,0.6314,,,1.92293,0.40352,0.05962,,,,,,0.41138,0.09148,3.7133,,0.74003,,,,,,,,4.6345,,,0.12674,,,,,,,,7.3874,0.27451,,,,,,,,,,,4.146,,1.625,7.7237,5.5316,,,,,,,,0.06786,,0.19924,,,,,,,,1.37794,60.97697,,,,0.9711,,,2.1573,3.1054,,,,,,2.2378,,,,,,,,2.81352,,0.74844,9.75,,,,,0.0562,,,0.1695
1993-09-30,8.3312,,10.4729,,4.94914,0.925,,,1.91093,0.37783,,,7.8097,,,5.7728,,0.90634,4.3918,,,,,,1.05671,,,0.84516,1.56544,,,,,,9.8473,,231.1786,0.51511,0.57919,3.44388,,2.3851,,,,,1.97937,,0.99929,,,2.35811,,1.69718,10.7635,3.1241,13.0957,,,,0.17097,0.02223,6.0106,,3.1015,10.1661,,4.38891,,6.0755,0.32358,,,2.44328,,1.84855,4.6206,,,,0.8356,1.8027,,,,,,,,,,0.35394,,,,5.7361,,0.43647,,,2.15016,0.4523,0.04441,,,,,,0.41685,0.08798,3.7704,,0.74467,,,,,,,,4.8791,,,0.12295,,,,,,,,7.5702,0.26706,,,,,,,,,,,4.35,,1.75,7.8406,5.3012,,,,,,,,0.07373,,0.20041,,,,,,,,1.26443,67.25313,,,,0.5628,,,2.2327,3.0499,,,,,,2.2107,,,,,,,,2.7982,,0.7061,9,,,,,0.0437,,,0.17469
1993-10-29,8.3153,,10.3926,,5.05706,0.98561,,,2.16459,,,,7.4626,,,4.6617,,1.03089,3.966,,,,,,1.10416,,,1.02012,1.48819,,,,,,9.9265,,232.7308,0.53053,0.65417,3.5565,,2.47203,,,,,2.07596,,1.28731,,,2.51365,,1.79708,8.4947,2.8117,13.0957,,,,0.18718,,5.7774,,2.8689,9.1367,,4.74752,,5.7626,,,,2.74452,,,4.6886,,,,0.798,1.748,,,,,,,,,,0.38952,,,,5.8286,,0.42401,,,2.06327,,0.04954,,,,,,0.54513,0.09001,3.9989,,0.73511,,,,,,,,4.6345,,,,,,,,,,,7.3881,0.29356,,,,,,,,,,,4.332,,1.8125,7.6233,5.5316,,,,,,,,0.0862,,0.2058,,,,,,,,1.25942,,,,,0.5407,,,2.178,3.2252,,,,,,2.2578,,,,,,,,2.5781,,0.59902,9,,,,,0.03954,,,
