Date,FCX US Equity,GMEXICOB MM Equity,3993 HK Equity,NEM US Equity,ABX CN Equity,2899 HK Equity,FRES LN Equity,FNV CN Equity,ANTO LN Equity,G CN Equity,NCM AU Equity,AEM CN Equity,FM CN Equity,WPM CN Equity,600547 CH Equity,PE&OLES* MM Equity,PLZL RM Equity,358 HK Equity,RRS LN Equity,TRQ CN Equity,RGLD US Equity,600489 CH Equity,LUN CN Equity,K CN Equity,BUENAVC1 PE Equity,POLY LN Equity,EVN AU Equity,ANG SJ Equity,KL CN Equity,GFI SJ Equity,NST AU Equity,VED LN Equity,YRI CN Equity,BTO CN Equity,VOLCABC1 PE Equity,1818 HK Equity,IMG CN Equity,CEY LN Equity,IGO AU Equity,000587 CH Equity,601069 CH Equity,AGI CN Equity,SGL SJ Equity,OZL AU Equity,DGC CN Equity,HBM CN Equity,002102 CH Equity,002155 CH Equity,KOZAL TI Equity,EDV CN Equity,RRL AU Equity,CG CN Equity,MNG MC Equity,002237 CH Equity,002716 CH Equity,THO CN Equity,SBM AU Equity,OGC CN Equity,CDE US Equity,MINSURI1 PE Equity,HOC LN Equity,HL US Equity,ANTM IJ Equity,OR CN Equity,NG CN Equity,600988 CH Equity,MFRISCOA MM Equity,NGD CN Equity,IMP SJ Equity,PVG CN Equity,SSRM CN Equity,860 HK Equity,SAR AU Equity,246 HK Equity,SFR AU Equity,2303 HK Equity,SMF CN Equity,HAR SJ Equity,TXG CN Equity,SSL CN Equity,ACA LN Equity,ELD CN Equity,RSG AU Equity,GUY CN Equity,HGM LN Equity,SOLG LN Equity,SEA CN Equity,NVO CN Equity,TMR CN Equity,GOR AU Equity,ZIM AU Equity,PSAB IJ Equity,PX PM Equity,PDL CN Equity,ASR CN Equity,600311 CH Equity,SVM CN Equity,ATYM LN Equity,DCN AU Equity,NCZ AU Equity,GSV CN Equity,WGX AU Equity,PG CN Equity,PODERC1 PE Equity,TGZ CN Equity,MLX AU Equity,CS CN Equity,EDR CN Equity,PRU AU Equity,000409 CH Equity,ROXG CN Equity,AR CN Equity,AVZ AU Equity,POG LN Equity,ASO CN Equity,AT PM Equity,TKO CN Equity,AGB CN Equity,GSC CN Equity,EUR FP Equity,GDRZF US Equity,AMI AU Equity,3788 HK Equity,TBR AU Equity,LMI LN Equity,BGM CN Equity,BRIO CN Equity,PAF LN Equity,APX PM Equity,RMS AU Equity,AKG CN Equity,PNR AU Equity,KOR CN Equity,WDO CN Equity,NGQ CN Equity,SLR AU Equity,661 HK Equity,HRT CN Equity,LC PM Equity,GCY AU Equity,3330 HK Equity,HUM LN Equity,WAF AU Equity,ML CN Equity,NUAG CN Equity,CDV AU Equity,VIT CN Equity,DR0 GR Equity,MAX CN Equity,3939 HK Equity,RIOZ ZH Equity,MYA CN Equity,AOT CN Equity,LUM CN Equity,RND AU Equity,ITH CN Equity,CGP CN Equity,LNZL RM Equity,BSX CN Equity,NUS CN Equity,CTGO US Equity,PGM CN Equity,CGH LN Equity,513 HK Equity,MTL LN Equity,TLG AU Equity,TNG AU Equity,ALK AU Equity,CLA AU Equity,DRD SJ Equity,MGG CN Equity,GBU CN Equity,NHK CN Equity,KNT CN Equity,YOJ AU Equity,OKU AU Equity,WILR SP Equity,RUP CN Equity,ARV AU Equity,EGS AU Equity,621 HK Equity,DRM AU Equity,BRZL RM Equity,BTR CN Equity,RZZ CN Equity,BGS AU Equity,JAG CN Equity,MML AU Equity,ALO CN Equity,HZM LN Equity,CNMC SP Equity,PEX AU Equity,MRZ CN Equity,TBP CN Equity,R CN Equity,NM CN Equity,BDR AU Equity,EUR AU Equity,VGZ CN Equity,BBX AU Equity
1993-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,27.2845,13.69632,,,,0.23652,0.54667,1.49225,4.28193,0.00887,,,0.82991,,,,,3.2938,,,,,,,,,6.27287,,,,,,,,,,,,,,0.81207,,3.38548,,,,6.23375,4.6008,,,,,,1.89409,,156.4599,,,9.9187,,,2.51258,,,0.5241,0.80193,,0.49234,,0.4004,,,,0.44801,3.49177,7.94092,,,1.51317,3.73754,,,,0.14382,,,,,,0.01668,1539.42304,,,,,,,,0.66934,,,,,4.01925,,,,16.67593,,,,,0.23044,10.12467,0.23969,8.31407,,5,,,0.05659,14.29966,158.65961,,,0.03156,,,0.68672,,0.64903,1.38808,,16.10442,,0.00362,,,,,,1.1544,,0.34146,,,,,,0.23969,2.14405,0.09366,0.12966,,,,152.6229,,,,0.02023,,,0.21764,0.24849,1212100,4.11112,,0.95877,0.79409,,,,,,,,,,,,,,,,,,,,,,,,,,17.33509,
1993-04-30,,,,30.23,17.22828,,,,0.24581,0.73717,1.68927,6.06858,0.00875,,,0.81616,,,,,3.8085,,,,,,,,,6.82659,,,,,,,,,,,,,,0.90719,,,,,,7.42163,3.77198,,,,,,2.1406,,180.9067,,,13.5475,,,2.27545,,,0.82542,0.91705,,0.708,,0.30296,,,,0.38996,4.41915,8.02356,,,1.7326,4.26635,,,,0.18117,,,,,,0.0192,1572.30116,,,,,,,,0.67104,,,,,5.59425,0.38242,,,15.57411,,,,,0.22343,9.834,0.31464,9.92171,,6.375,,,0.12379,17.85187,160.09759,,,0.0336,,,1.23925,,1.04569,2.03041,,18.05576,,0.0038,,,,,,1.0055,,0.36184,,,,,,0.61359,2.65481,0.19097,0.16455,,,,152.69015,,,,0.02434,,,0.16091,0.24912,1152880,5.35658,,1.25856,1.84855,,,,,,,,,,,,,,,,,,,,,,,,,,24.29464,
1993-05-31,,,,32.5749,17.94288,,,,0.22276,0.94013,2.23444,8.39493,0.01445,,,0.92908,,,,,3.7055,,,,,,,,,9.52062,,,,,,,,,,,,,,0.64711,,1.10815,,,,7.48637,2.74151,,,,,,2.484,,191.9078,,,12.9427,,,2.84397,,,0.67008,1.06836,,0.74722,,0.38508,,,,0.42043,6.01537,12.58554,,,2.25962,4.74927,,,,0.12569,,,,,,0.01811,2200.87532,,,,,,,,0.6985,,,,,5.59337,1.25836,,,21.23516,,,,,0.25251,11.00196,0.16514,11.97905,,5.75,,,0.18307,21.03905,232.83259,,,0.02968,,,1.45296,,1.33597,1.56155,,20.79143,,0.00412,,,,,,1.89225,,0.34573,,,,,,0.45618,1.88746,0.1206,0.16306,,,,154.26427,,,,0.02711,,,0.11637,0.21366,2241750,10.41404,,1.4786,1.06166,,,,,,,,,,,,,,,,,,,,,,,,,,26.80371,
1993-06-30,,,,32.6526,19.60724,,,,0.21188,1.19313,2.15502,9.06527,0.04013,,,0.85075,,,,,3.3967,,,6.47309,,,,,,9.01256,,,,,,,,,,,,,,0.67119,,1.09872,,,,6.92178,2.56047,,,,,,2.43641,,204.1312,,,13.3056,,,2.74929,,,0.93555,0.90516,,0.56153,,0.3587,,,,0.38685,5.36168,14.97329,,,2.16569,4.54723,,,,0.14038,,,,,,0.01578,2026.29668,,,,,,,,1.22247,,,,,6.81814,1.09134,,,35.09593,,,,,0.21764,10.91873,0.1559,10.85651,,5.25,,,0.16662,20.60439,196.22529,,,0.02367,,,0.9069,,1.11699,2.70966,,21.50776,,0.00379,,,,,,0.49782,,0.24177,,,,,,0.54589,1.69594,0.11829,0.16167,,,,292.47066,,,,0.04313,,,0.11018,0.18628,1612460,9.53137,,1.21646,0.89665,,,,,,,,,,,,,,,,,,,,,,,,,,31.55892,
1993-07-30,,,,36.0734,21.66105,,,,0.25685,1.2081,2.48698,11.17398,0.04573,,,1.12126,,,,,3.6026,,,7.0098,,,,,,8.81707,,,,,,,,,,,,,,0.6959,,,,,,8.66911,5.52471,,,,,,4.03334,,227.3558,,,13.9104,,,2.07318,,,0.73862,0.9448,,0.64531,,0.41131,,,,0.29492,5.36953,10.72914,,,2.34525,6.16529,,,,0.13206,,,,,,0.01947,2175.5484,,,,,,,,1.72711,,,,,7.15524,1.08837,,,37.32214,,,,,0.35357,11.26826,0.15538,12.21123,,5.75,,,0.20127,22.61795,80.53565,,,0.03949,,,4.97008,,1.43551,2.16135,,21.20242,,0.00466,,,,,,0.99867,,0.38877,,,,,,0.50536,1.80779,0.12265,0.18238,,,,492.05543,,,,0.02288,,,0.15368,0.2559,1793400,9.7852,,0.96416,0.89393,,,,,,,,,,,,,,,,,,,,,,,,,,33.11973,
1993-08-31,,,,31.5016,19.86217,,,,0.25037,1.19564,2.1196,10.89114,0.03625,,,1.10896,,,,,3.6026,,,6.61546,,,,,,7.24056,,,,,,,,,,,,,,0.59066,,1.06967,,,,12.20916,6.59317,,,,,,3.70676,,199.2419,,,12.7008,,,1.95219,,,0.53114,0.79859,,0.62855,,0.54571,,,,0.27949,4.64298,8.16635,,,2.17708,5.29863,,,,0.07568,,,,,,0.02033,2044.74816,,,,,,,,1.63143,,,,,7.38644,1.12164,,,34.10383,,,,,0.2614,8.90489,0.10605,11.00046,,7,,,0.16862,22.42154,70.10233,,,0.03418,,,15.73371,,0.92835,2.36997,,20.24864,,0.00387,,,,,,1.46397,,0.22796,,,,,,0.39319,1.5384,0.15154,0.1571,,,,357.43474,,,,0.02597,,,0.14359,0.2435,1750520,6.97072,,1.18227,0.86933,,,,,,,,,,,,,,,,,,,,,,,,,,29.45625,
1993-09-30,,,,29.5522,17.53612,,,,0.25645,0.96761,1.87129,9.98064,0.04134,,,0.92388,,,,,3.6026,,,5.149,,,,,,6.51165,,,,,,,,,,,,,,0.4249,,1.07113,,,,7.52414,3.86731,,,,,,3.99688,,169.9057,,,9.9187,,,1.55824,,,0.53014,0.66537,,0.5997,,0.52343,,,,0.26979,4.11272,7.04554,,,1.97397,6.61896,,,,0.07536,,,,,,0.01733,1985.06852,,,,,,,,1.13449,,,,,8.27801,0.90327,,,32.381,,,,,0.23216,8.71439,0.16555,8.6512,,6.1875,,,0.12405,21.5122,55.91179,,,0.03187,,,9.05477,,0.8894,2.23258,,17.53132,,0.00317,,,,,,1.79835,,0.18895,,,,,,0.37705,1.41137,0.13808,0.33791,,,,245.97325,,,,0.02261,,,0.08977,0.20342,1451380,5.77305,,0.75643,0.79311,,,,,,,,,,,,,,9973.22766,,,,,,,,,,,,25.5439,
1993-10-29,,,,32.6712,21.02007,,,,0.26591,1.26695,2.48825,12.96148,0.04592,,,0.9137,,,,,3.3967,,,6.17603,,,,,,7.40403,,,,,,,,,,,,,,0.58452,,,,,,8.83045,3.51479,,,,,,4.22132,,196.7972,,,10.2816,,,2.05352,,,0.75449,0.72796,,0.6436,,0.61617,,,,0.39035,4.56037,7.57002,,,2.1751,7.57041,,,,0.07565,,,,,,0.0168,1891.56508,,,,,,,,0.96868,,,,,8.83667,1.02957,,,49.97066,,,,,0.2222,7.85568,0.15184,12.07149,,12.125,,,0.12799,22.40678,50.41031,,,0.02792,,,10.76938,,0.89466,2.36782,,18.5704,,0.00315,,,,,,1.81646,,0.22753,,,,,,0.34073,1.4197,0.10797,0.46419,,,,239.57668,,,,0.02536,,,0.08058,0.18656,1262540,7.8951,,0.75717,0.64443,,,,,,,,,,,,,,9249.40666,,,,,,,,,,,,29.42949,
