Date,XOM US Equity,RDSA LN Equity,CVX US Equity,857 HK Equity,FP FP Equity,BP/ LN Equity,386 HK Equity,BLT LN Equity,BHP AU Equity,RIL IN Equity,PETR4 BZ Equity,STL NO Equity,COP US Equity,883 HK Equity,ENI IM Equity,EOG US Equity,ROSN RM Equity,SU CN Equity,OXY US Equity,EPD US Equity,LKOH RM Equity,GAZP RM Equity,PSX US Equity,PTT TB Equity,ENB CN Equity,VLO US Equity,ECOPETL CB Equity,267 HK Equity,CNQ CN Equity,LYB US Equity,6505 TT Equity,MPC US Equity,NVTK RM Equity,ONGC IN Equity,APC US Equity,PXD US Equity,MAERSKB DC Equity,TSCO LN Equity,FEMSAUBD MM Equity,REP SM Equity,GMKN RM Equity,IMO CN Equity,CLR US Equity,TATN RM Equity,IOCL IN Equity,SIBN RM Equity,SOL SJ Equity,CXO US Equity,WPL AU Equity,NESTE FH Equity,COPEC CI Equity,OMV AV Equity,034730 KS Equity,SSE LN Equity,DVN US Equity,ANDV US Equity,HES US Equity,096770 KS Equity,SNGS RM Equity,ETE US Equity,PTTEP TB Equity,VEDL IN Equity,NBL US Equity,GALP PL Equity,MRO US Equity,APA US Equity,MMP US Equity,TECK/B CN Equity,HSE CN Equity,EQT US Equity,BPCL IN Equity,FANG US Equity,CVE CN Equity,ECA CN Equity,AKERBP NO Equity,010950 KS Equity,IEP US Equity,PKN PW Equity,GAIL IN Equity,STLD US Equity,HFC US Equity,COG US Equity,ANDX US Equity,ALFA SS Equity,TRGP US Equity,2688 HK Equity,PGN PW Equity,UGPA3 BZ Equity,XEC US Equity,LUPE SS Equity,PE US Equity,OSH AU Equity,KCHOL TI Equity,DCC LN Equity,ADNOCDIS UH Equity,JEC US Equity,1193 HK Equity,MRW LN Equity,RSPP US Equity,BRDT3 BZ Equity,RUI FP Equity,HPCL IN Equity,135 HK Equity,IPL CN Equity,PETD MK Equity,WPX US Equity,TUPRS TI Equity,PETROR AB Equity,SMC PM Equity,ALFAA MM Equity,EGN US Equity,OGDC PA Equity,CTX AU Equity,TOP TB Equity,AR US Equity,BANE RM Equity,NFX US Equity,VVC US Equity,AZRG IT Equity,INARA CZ Equity,MUR US Equity,VII CN Equity,TOU CN Equity,1402 TT Equity,SNP RO Equity,CDEV US Equity,CPG CN Equity,CSAN3 BZ Equity,PTEN US Equity,BBU-U CN Equity,IRPC TB Equity,NFG US Equity,TLW LN Equity,EA TB Equity,VET CN Equity,PBF US Equity,ARX CN Equity,OINL IN Equity,DK US Equity,QFLS QD Equity,SNG RO Equity,WLL US Equity,PPL PA Equity,CASY US Equity,MTDR US Equity,PDCE US Equity,SR US Equity,RRC US Equity,PGAS IJ Equity,OAS US Equity,CNX US Equity,DEDRL IT Equity,MIC US Equity,VNOM US Equity,UNIPE CP Equity,BANPU TB Equity,ELPE GA Equity,PKI CN Equity,TEP US Equity,WCP CN Equity,CVI US Equity,LTS PW Equity,JAG US Equity,QEP US Equity,MRPL IN Equity,ERF CN Equity,003410 KS Equity,CPE US Equity,VED LN Equity,KOS US Equity,CHK US Equity,SRCI US Equity,PXT CN Equity,SJI US Equity,SM US Equity,WRD US Equity,MOH GA Equity,LPI US Equity,CVRR US Equity,XOG US Equity,SWN US Equity,CZZ US Equity,RNFT RM Equity,3633 HK Equity,ALBH BI Equity,JSMR IJ Equity,SRS IM Equity,ECL CI Equity,TITK GA Equity,SUN US Equity,467 HK Equity,TELL US Equity,SPRC TB Equity,MUSA US Equity,DLEN IT Equity,ZEL NZ Equity,DNO NO Equity,ESSO TB Equity,933 HK Equity,1434 TT Equity
1993-01-31,,,,,,,,,,1320.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-28,,,,,,,,,,1284.6765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,82127.25,,27030.0897,,9129.2924,25055.8474,,,16524.6886,1188.6406,,,7318.9965,,,3210,,,6682.0159,,,,,,,,,2894.5208,486.8181,,,,,,2039.8144,,2840.4998,6963.16,2187.2172,7268.3776,,7369.283,,,,,3328.2765,,1583.8483,,,1231.6901,,,482.0422,73.8728,4895.379,,,,,,986.9298,,5587.9783,1226.0985,,,,1208.4226,,,,3880.8099,,1078.3564,,,,,219.7494,480.9275,,,,,,,,,,,,,,660.0103,,1663.4474,,,,,14.6708,,,,,,2348.2261,1155.4909,232.959,,279.0605,,,,,,,,1877.8426,,,1737.3901,,,,,,,,1087.072,25.1419,,,,,,,,,,,192.5584,,20.6825,338.9955,30.4419,,,,,,,,192.1488,,21.9328,,,,,,,,,590.8448,,,,,,,245.8837,,,,,,,,,,,,,,,393.3822,,,19.8103,,,,,,,,930.7279
1993-04-30,81972,,28014.7399,,9312.9055,25096.4169,,,16274.2284,894.6487,,,7586.9461,,,3150,,1166.8985,6736.4649,,,,,,,,,3057.6383,551.4442,,,,,,2229.2462,,3167.6809,6831.8834,2058.1819,7561.396,,7167.4354,,,,,3257.2214,,1625.612,,,1283.871,,,448.3511,86.1849,4942.8987,,,,,,989.3655,,5302.3406,1411.1695,,,,1193.788,,,,4230.3801,,1087.5382,,,,,237.2881,496.2763,,,,,,,,,,,,,,618.9846,,1695.553,,,,,30.1916,,,,,,2524.4871,1057.88,236.5456,,330.6981,,,,,,,,2079.0344,,,1576.3101,,,,,,,,1081.1509,41.5078,,,,,,,,,,,181.4759,,23.8163,345.8144,31.9341,,,,,,,,214.5743,,24.4454,,,,,,,,,653.0511,,,,,,,232.3238,140.24,,,,,,,,,,,,,,366.6327,,,19.8103,,,,,,,,966.6595
1993-05-31,81351,,28665.2999,,9469.7095,26177.2399,,,15284.9801,941.3016,,,8042.8141,,,3400,,1209.5302,6622.2876,,,,,,,,,2946.1909,602.2108,,,,,,2291.5543,,3270.1817,6778.4958,1996.431,7567.0119,,7223.4858,,,,,3245.5291,,1541.3266,,,1388.0036,,,445.2049,87.9375,5012.354,,,,,,989.3655,,5373.9939,1378.1983,,,,1277.914,,,,4155.9404,,1135.3758,,,,,241.4149,488.6019,,,,,,,,,,,,,,583.274,,1748.2758,,,108.3613,,178.5231,,,,,,2487.7823,1046.241,233.9884,,287.9215,,,,,,,,2085.1313,,,1451.1598,,,,,,,,1017.3034,38.8955,,,,,,,,,,,184.2466,,18.8023,358.478,32.8617,,,,,,,,312.3656,,28.2435,,,,,,,,,692.7344,,,,54.911,,,234.7313,138.0314,,,,,,,,,,,,,,374.7009,,,35.0491,,,,,,,,852.4526
1993-06-30,82127.25,,28543.3199,,9145.643,25076.804,,,14949.7631,925.2121,,,7293.8881,,,3260,,1347.8274,6393.9328,,,,,,,,,2744.0059,838.5818,,,,,,2229.2462,,3683.4009,6210.095,2049.6336,7406.8394,,7199.8735,,,,,3327.7277,,1418.6249,,,1419.6339,,,559.7606,77.385,4537.7431,,,,,,1110.1601,,4836.5945,1463.9235,,,,1217.824,922.0986,,,4193.7577,,1183.3866,,,,,227.9891,496.2763,,,,,,,,,,,,,,523.7562,,1522.3661,,,97.1173,943.8983,215.4171,,,,,,2418.9229,978.6333,265.954,,287.1965,,,,,,,,1957.0969,,,1276.8937,,,,,,,,1136.4854,48.6092,,,,,,,,,,,205.0263,,16.2953,365.2969,35.6002,,,,,,,,303.75,,30.1575,,,,,,,,,713.9989,,,,54.911,,,238.3425,138.0314,,,,,,,,,,,,,,355.1252,,,28.9536,,,,,,,,784.4621
1993-07-30,81506.25,,28765.7874,,9710.4185,24930.5002,,,16293.3898,,,,8030.0555,,,3410,,1137.6478,6439.4284,,,,,,,,,2510.8642,825.4561,,,,,,2259.1949,,3639.2722,6014.4449,2231.8682,7061.8557,,6725.8804,,,,,3174.8749,,1516.8507,,,1607.824,,,463.4297,79.1437,4618.5246,,,,,,1294.852,,5051.0078,1484.7469,,,,1185.776,,,,3892.5122,,,,,,,220.7678,471.592,,,,,,,,,,,,,,494.5644,,1482.1708,,,94.6518,,157.6062,,,,,,2524.6361,932.6048,240.108,,291.5595,,,,,,,,1831.4452,,,,,,,,,,,1272.1975,48.8686,,,,,,,,,,,211.9528,,16.2953,372.1158,38.3387,,,,,,,,337.3669,,31.1399,,,,,,,,,,,,,54.2725,,,252.252,120.5036,,,,,,,,,,,,,,349.9962,,,30.4775,,,,,,,,
1993-08-31,81195.75,,30311.8976,,10410.2821,25749.5223,,,17315.7066,2001.0477,,,8552.3355,,,4020,,1211.9998,6515.6346,,,,,,,,,2642.6603,979.9148,,,,,,2620.0886,,3791.5394,6915.8479,2721.6823,8606.2847,,7363.6077,,,,,3264.2101,,1503.0282,,,1618.9349,,,508.0311,102.0075,4896.3306,,,,,,1518.9609,,5803.2855,1682.7131,,,,1343.6325,1058.4017,,,4066.675,,995.2823,,,,,237.2738,522.852,,,,,,,,,,,,,,594.6909,,1523.6933,,,100.2134,1270.6886,200.7399,,,,,,2531.8239,1070.3892,250.38,,320.9564,,,,,,,,2016.27,,,1189.3527,,,,,,,,1313.3838,55.758,,,,,,,,,,,226.0199,,16.9161,385.7535,54.4824,,,,,,,,354.375,,30.875,,,,,,,,,588.6694,,,,56.188,,,242.55,122.6764,,,,,,,,,,,,,,357.5375,,39.5215,29.7156,,,,,,,,761.1884
1993-09-30,81351,,31817.3207,,10438.209,26462.2896,,,17376.9767,2034.007,,,8813.4755,,,4240,,1173.319,6287.0159,,,,,,,,,2828.4775,867.2358,,,,,,2692.2674,,3880.9562,5776.7216,2464.7631,8646.8447,,6956.6252,,,,,2916.4605,,1615.0008,,,1588.1739,,,531.4787,105.525,4907.9059,,,,,,1444.2579,,5731.64,1563.9334,,,,1296.4875,1195.0287,,,3975.5628,,1062.7265,,,,,239.337,507.474,,,,,,,,,,,,,,564.3496,,1053.2872,,,112.0558,1424.0918,149.5117,,,,,,2586.8897,1029.3806,254.232,,322.9677,,,,,,,,2122.6842,,,1154.0974,,,,,,,,1331.6888,54.2449,,,,,,,,,,,237.1129,,18.2173,386.7276,52.2123,,,,,,,,385.0277,,31.057,,,,,,,,,649.2592,,,,32.5635,,,247.401,120.4857,,,,,,,,,,,,,,349.6278,,37.3424,27.4297,,,,,,,,784.6984
1993-10-29,81195.75,,31585.7227,,10665.8326,28196.1634,,,19442.7949,,,,8429.828,,,3420,,1334.6628,5682.5246,,,,,,,,,3414.001,824.4416,,,,,,2754.6231,,3868.7099,5874.0887,2783.8448,8929.6253,,7210.1456,,,,,3058.7751,,2065.0402,,,1692.9293,,,419.4513,94.9725,4907.3232,,,,,,1391.8545,,5301.1748,1615.0193,,,,1348.0911,,,,4466.1526,,,,,,,227.9891,492.864,,,,,,,,,,,,,,573.452,,1021.1816,,,106.7931,,166.7802,,,,,,3486.6106,1053.1498,270.9,,318.8203,,,,,,,,2016.27,,,,,,,,,,,1299.655,59.6275,,,,,,,,,,,235.7263,,18.8679,376.0123,54.4824,,,,,,,,450.1772,,31.8926,,,,,,,,,,,,,31.2865,,,243.7999,127.0577,,,,,,,,,,,,,,327.0712,,31.6272,27.4297,,,,,,,,
