S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
04/20/2018,1207.089,,04/20/2018,708.54,,04/20/2018,2.35923,,04/20/2018,2670.14,,XOM US Equity,358.70T,26.96T,10.06,,FCX US Equity,30.05T,2.30T,12.39
03/30/2018,1142.949,,03/30/2018,701.97,,03/30/2018,2.31175,,03/30/2018,2640.87,,RDSA LN Equity,316.32T,45.65T,13.24,,GMEXICOB MM Equity,28.25T,240.47B,2.54
02/28/2018,1075.767,,02/28/2018,699.13,,02/28/2018,2.01719,,02/28/2018,2713.83,,CVX US Equity,250.54T,23.86T,16.56,,3993 HK Equity,26.05T,278.46B,6.94
01/31/2018,1136.1,,01/31/2018,711.64,,01/31/2018,1.77777,,01/31/2018,2823.81,,857 HK Equity,227.53T,16.09T,4.77,,NEM US Equity,23.66T,7.95T,95.71
12/29/2017,1081.829,,12/29/2017,695.35,,12/29/2017,1.69428,,12/29/2017,2673.61,,FP FP Equity,176.83T,35.39T,15.6,,ABX CN Equity,16.45T,8.62T,92.62
11/30/2017,1016.506,,11/30/2017,677.31,,11/30/2017,1.48738,,11/30/2017,2647.58,,BP/ LN Equity,155.58T,24.03T,8.88,,2899 HK Equity,15.24T,7.81T,60.22
10/31/2017,981.991,,10/31/2017,675.6,,10/31/2017,1.38122,,10/31/2017,2575.26,,386 HK Equity,138.77T,26.36T,5.56,,FRES LN Equity,14.39T,1.31T,55.36
09/29/2017,928.117,,09/29/2017,682.55,,09/29/2017,1.33389,,09/29/2017,2519.36,,BLT LN Equity,130.27T,7.84T,18.37,,FNV CN Equity,14.20T,654.46B,87.1
08/31/2017,871.628,,08/31/2017,701.83,,08/31/2017,1.31778,,08/31/2017,2471.65,,BHP AU Equity,130.27T,7.84T,18.37,,ANTO LN Equity,14.13T,380.41B,7.09
07/31/2017,878.39,,07/31/2017,675.33,,07/31/2017,1.31056,,07/31/2017,2470.3,,RIL IN Equity,96.69T,1.51T,2.66,,G CN Equity,13.32T,2.86T,73.82
06/30/2017,804.444,,06/30/2017,662.08,,06/30/2017,1.29917,,06/30/2017,2423.41,,STL NO Equity,90.86T,2.22T,3.22,,NCM AU Equity,12.62T,3.96T,100
05/31/2017,842.385,,05/31/2017,679.16,,05/31/2017,1.21,,05/31/2017,2411.8,,COP US Equity,82.59T,32.89T,100,,AEM CN Equity,11.04T,2.42T,95.46
04/28/2017,860.551,,04/28/2017,676.76,,04/28/2017,1.17233,,04/28/2017,2384.2,,883 HK Equity,78.83T,23.84T,76.56,,FM CN Equity,10.93T,266.71B,7.13
03/31/2017,895.538,,03/31/2017,667.21,,03/31/2017,1.14956,,03/31/2017,2362.72,,ENI IM Equity,76.42T,8.18T,11.08,,WPM CN Equity,10.11T,479.11B,50.28
