Date,SPXGS_PTRM,SPXGS_GTRM,S&P500,LIBOR_3M
1993.01.29,452.702,182.87,438.78,3.3125
1993.02.26,455.815,182.41,443.38,3.1875
1993.03.31,454.226,187.88,451.67,3.25
1993.04.30,454.239,198.27,440.19,3.1875
1993.05.31,438.398,210.57,450.19,3.375
1993.06.30,411.036,210.56,450.53,3.3125
1993.07.30,388.378,226.57,448.13,3.3125
1993.08.31,398.863,207.52,463.56,3.25
1993.09.30,403.095,197.74,458.93,3.375
1993.10.29,363.548,205.16,467.83,3.4375
1993.11.30,325.919,205.92,461.79,3.5
1993.12.31,295.069,217.57,466.45,3.375
1994.01.31,321.485,212.44,481.61,3.25
1994.02.28,313.529,212.36,467.14,3.75
1994.03.31,320.078,218.3,445.77,3.9375
1994.04.29,350.768,209.79,450.91,4.3125
1994.05.31,378.991,215.77,456.5,4.625
1994.06.30,395.289,215.02,444.27,4.875
1994.07.29,425.397,213.39,458.26,4.875
1994.08.31,379.755,215.16,475.49,5
1994.09.30,384.018,219.75,462.69,5.5
1994.10.31,383.55,213.65,472.35,5.625
1994.11.30,379.061,212.33,453.69,6.1875
1994.12.30,377.755,213.28,459.27,6.5
1995.01.31,385.663,208.6,470.42,6.3125
1995.02.28,391.081,209.88,487.39,6.25
1995.03.31,399.499,218.16,500.71,6.25
1995.04.28,433.679,215.91,514.71,6.1875
1995.05.31,417.319,214.73,533.4,6.0625
1995.06.30,394.288,214.61,544.75,6.05859
1995.07.31,404.309,213.6,562.06,5.875
1995.08.31,417.37,213.78,561.88,5.88281
1995.09.29,417.278,214.47,584.41,5.95313
1995.10.31,423.568,214.26,581.5,5.9375
1995.11.30,444.231,216.67,605.37,5.875
1995.12.29,496.69,217.31,615.93,5.625
1996.01.31,464.707,228.7,636.02,5.375
1996.02.29,520.893,225.5,640.43,5.30469
1996.03.29,586.11,223.2,645.5,5.47266
1996.04.30,640.82,221.44,654.17,5.48438
1996.05.31,608.989,221.41,669.12,5.5
1996.06.28,655.522,215.08,670.63,5.58203
1996.07.31,672.407,219.58,639.95,5.67578
1996.08.30,741.483,219.51,651.99,5.5625
1996.09.30,818.653,214.41,687.31,5.625
1996.10.31,810.184,214.55,705.27,5.5
1996.11.29,846.929,212.06,757.02,5.5
1996.12.31,919.972,209.7,740.74,5.5625
1997.01.31,879.847,196.41,786.16,5.5625
1997.02.28,756.132,208.06,790.82,5.53906
1997.03.31,764.82,201.36,757.12,5.77344
1997.04.30,764.007,194.92,801.34,5.81641
1997.05.30,787.608,197.81,848.28,5.8125
1997.06.30,740.462,191.68,885.14,5.78125
1997.07.31,772.186,186.6,954.29,5.70703
1997.08.29,757.423,186.69,899.47,5.71875
1997.09.30,806.862,192.97,947.28,5.76953
1997.10.31,803.812,179.53,914.62,5.75
1997.11.28,737.602,171.73,955.4,5.90234
1997.12.31,677.003,167.52,970.43,5.8125
1998.01.30,657.905,175.85,980.28,5.625
1998.02.27,588.728,173.94,1049.34,5.67969
1998.03.31,581.146,175.55,1101.75,5.71094
1998.04.30,572.265,178.96,1111.75,5.71875
1998.05.29,536.516,170.99,1090.82,5.6875
1998.06.30,486.151,173.5,1133.84,5.6875
1998.07.31,455.01,167.36,1120.67,5.6875
1998.08.31,424.409,161.36,957.28,5.625
1998.09.30,502.558,173.68,1017.01,5.3125
1998.10.30,452.195,171.18,1098.67,5.21953
