Date,SPXGS_PTRM,SPXGS_GTRM,LIBOR_3M,S&P500
1998.4.30,57.166,179.2618,5.71875,1111.75
1998.5.29,55.1081,171.8096,5.6875,1090.82
1998.6.30,51.8386,173.5562,5.6875,1133.84
1998.7.31,49.3666,169.1314,5.6875,1120.67
1998.8.31,46.8722,162.3778,5.625,957.28
1998.9.30,56.3007,174.0802,5.3125,1017.01
1998.10.30,51.3466,170.9945,5.21953,1098.67
1998.11.30,40.2233,171.8096,5.28266,1163.63
1998.12.31,43.1032,168.3745,5.06563,1229.23
1999.1.29,44.7984,167.7923,4.96953,1279.64
1999.2.26,43.3918,167.8505,5.02625,1238.33
1999.3.31,59.4803,164.1244,5,1286.37
1999.4.30,64.0892,167.5594,4.98875,1335.18
1999.5.31,57.9683,158.3605,5.06625,1301.84
1999.6.30,67.235,153.47,5.3675,1372.71
1999.7.30,72.4527,150.6754,5.3425,1328.72
1999.8.31,78.5972,149.8021,5.52,1320.41
1999.9.30,86.1446,174.3712,6.08375,1282.71
1999.10.29,77.796,174.837,6.185,1362.93
1999.11.30,86.2083,170.5869,6.115,1388.91
1999.12.31,89.9261,168.6074,6.00125,1469.25
2000.1.31,96.5699,166.6278,6.0775,1394.46
2000.2.29,105.4689,171.2855,6.10875,1366.42
2000.3.31,94.8002,163.8333,6.29,1498.58
2000.4.28,91.215,159.9324,6.5025,1452.43
2000.5.31,103.1126,159.9907,6.8625,1420.6
2000.6.30,114.1386,169.7135,6.76938,1454.6
2000.7.31,99.3651,164.8812,6.72188,1430.83
2000.8.31,120.0212,164.2408,6.68,1517.68
2000.9.29,112.2168,161.2133,6.81125,1436.51
2000.10.31,115.9438,155.1001,6.76,1429.4
2000.11.30,120.8037,159.1174,6.715,1314.95
2000.12.29,97.6787,159.292,6.39875,1320.28
2001.1.31,100.0666,156.0316,5.42125,1366.01
2001.2.28,97.5598,155.9152,5.0525,1239.94
2001.3.30,95.1931,150.9082,4.87875,1160.33
2001.4.30,104.4025,153.9357,4.33625,1249.46
2001.5.31,103.5054,155.3912,3.99,1255.82
2001.6.29,94.5898,157.9529,3.83625,1224.42
2001.7.31,93.2698,156.7303,3.67,1211.23
2001.8.31,98.3208,160.9804,3.4625,1133.58
2001.9.28,85.0523,171.169,2.59,1040.94
2001.10.31,76.0823,163.3092,2.2,1059.78
2001.11.30,70.123,160.0488,2.03188,1139.45
2001.12.31,71.7263,162.4359,1.88125,1148.08
2002.1.31,70.4611,164.7066,1.88,1130.2
2002.2.28,78.3613,172.9739,1.9,1106.73
2002.4.30,94.4326,176.8165,2.03,1076.92
2002.5.31,96.8141,180.0186,1.92,1067.14
2002.6.28,89.8102,190.673,1.89625,989.81
2002.7.31,94.6758,182.755,1.86,911.62
2002.8.30,95.2063,177.6898,1.82375,916.07
2002.9.30,101.9939,182.755,1.80625,815.28
2002.10.31,106.778,189.334,1.79,885.76
