S&P 500,T-Bill
1090.82,5.6875
1133.84,5.6875
1120.67,5.6875
957.28,5.625
1017.01,5.3125
1098.67,5.21953
1163.63,5.28266
1229.23,5.06563
1279.64,4.96953
1238.33,5.02625
1286.37,5
1335.18,4.98875
1301.84,5.06625
1372.71,5.3675
1328.72,5.3425
1320.41,5.52
1282.71,6.08375
1362.93,6.185
1388.91,6.115
1469.25,6.00125
1394.46,6.0775
1366.42,6.10875
1498.58,6.29
1452.43,6.5025
1420.6,6.8625
1454.6,6.76938
1430.83,6.72188
1517.68,6.68
1436.51,6.81125
1429.4,6.76
1314.95,6.715
1320.28,6.39875
1366.01,5.42125
1239.94,5.0525
1160.33,4.87875
1249.46,4.33625
1255.82,3.99
1224.42,3.83625
1211.23,3.67
1133.58,3.4625
1040.94,2.59
1059.78,2.2
1139.45,2.03188
1148.08,1.88125
1130.2,1.88
1106.73,1.9
1076.92,1.92
1067.14,1.89625
989.81,1.86
911.62,1.82375
916.07,1.80625
815.28,1.79
885.76,1.68625
936.31,1.425
879.82,1.38
855.7,1.35
841.15,1.34
848.18,1.27875
916.92,1.31
963.59,1.28
974.5,1.11625
990.31,1.11438
1008.01,1.14
995.97,1.16
1050.71,1.16938
1058.2,1.17188
1111.92,1.15188
1131.13,1.13
1144.94,1.12
1126.21,1.11
1107.31,1.18
1120.68,1.315
1140.84,1.61
1101.72,1.7
1104.24,1.8
1114.58,2.02
1130.2,2.17
1173.82,2.41
1211.92,2.56438
1181.27,2.75
1203.6,2.92
1180.59,3.12
1156.85,3.21
1191.5,3.3375
1191.33,3.51625
1234.18,3.7
1220.33,3.87
1228.81,4.065
1207.01,4.26
1249.48,4.42
1248.29,4.53625
1280.08,4.68
1280.66,4.8225
1294.83,5
1310.61,5.13
1270.09,5.23813
1270.2,5.48063
1276.66,5.46563
1303.82,5.3975
1335.85,5.37
1377.94,5.37063
1400.63,5.37
1418.3,5.36
1438.24,5.36
1406.82,5.34813
1420.86,5.35
1482.37,5.355
1530.62,5.36
1503.35,5.36
1455.28,5.35866
1473.99,5.62125
1526.75,5.22875
1549.38,4.89375
1481.14,5.13125
1468.35,4.7025
1378.55,3.11188
1330.63,3.0575
1322.7,2.68813
1385.59,2.85
1400.38,2.68063
1280,2.78313
1267.38,2.79125
1282.83,2.81063
1166.36,4.0525
968.75,3.02625
896.24,2.21688
903.25,1.425
825.88,1.18438
735.09,1.26438
797.87,1.19188
872.81,1.01625
919.14,0.65625
919.32,0.595
987.48,0.47938
1020.63,0.3475
1057.08,0.28688
1036.19,0.28063
1095.63,0.25656
1115.1,0.25063
1073.87,0.24906
1104.49,0.25169
1169.43,0.2915
1186.69,0.34656
1089.41,0.53625
1030.71,0.53394
1101.6,0.45375
1049.33,0.29563
1141.2,0.29
1183.26,0.28594
1180.55,0.30031
1257.64,0.30281
1286.12,0.30438
1327.22,0.3095
1325.83,0.303
1363.61,0.273
1345.2,0.25288
1320.64,0.24575
1292.28,0.2555
1218.89,0.32722
1131.42,0.37433
1253.3,0.42944
1246.96,0.52889
1257.6,0.581
1312.41,0.54235
1365.68,0.48425
1408.47,0.46815
1397.91,0.46585
1310.33,0.46685
1362.16,0.4606
1379.32,0.4426
1406.58,0.41825
1440.67,0.3585
1412.16,0.31275
1416.18,0.3105
1426.19,0.306
1498.11,0.298
1514.68,0.2871
1597.57,0.2731
1630.74,0.27525
1606.28,0.2731
1685.73,0.2656
1632.97,0.2595
1681.55,0.24885
1756.54,0.242
1805.81,0.2391
1848.36,0.2461
1782.59,0.2366
1859.45,0.23565
1872.34,0.2306
1883.95,0.22335
1923.57,0.2274
1960.23,0.2307
1930.67,0.2391
2003.37,0.2336
1972.29,0.2351
2018.05,0.2321
2067.56,0.2336
2058.9,0.2556
1994.99,0.2531
2104.5,0.26185
2067.89,0.27075
2085.51,0.27875
2107.39,0.28375
2063.11,0.2832
2103.84,0.3086
1972.18,0.329
1920.03,0.325
2079.36,0.3341
2080.41,0.4162
2043.94,0.6127
1940.24,0.6126
1932.23,0.6331
2059.74,0.6286
2065.3,0.6366
2096.96,0.6858
2098.86,0.6541
2173.6,0.7591
2170.95,0.83933
2168.27,0.85367
2126.15,0.88428
2198.81,0.93417
2238.83,0.99789
2278.87,1.03456
2363.64,1.064
2362.72,1.14956
2384.2,1.17233
2411.8,1.21
2423.41,1.29917
2470.3,1.31056
2471.65,1.31778
2519.36,1.33389
2575.26,1.38122
2647.58,1.48738
2673.61,1.69428
2823.81,1.77777
2713.83,2.01719
